Year,Percent_Missing,Mean,Median,Std,Min,Max
1990,0.0,6.402517873795462,5.8,3.411254492932796,0.4,40.6
1991,0.0,7.3938141125272,6.8,3.795290634655633,0.9,39.5
1992,0.0,7.788156667702829,7.1,3.960260414740681,0.9,35.7
1993,0.0,7.232887783649363,6.4,3.914432270159335,1.0,36.5
1994,0.0,6.483623368551895,5.6,3.590986495005515,1.2,36.5
1995,0.0,6.17799875699192,5.3,3.483392916147564,1.1,38.3
1996,0.0,6.187507768800498,5.3,3.504442662532586,1.4,35.6
1997,0.0,5.784400248601615,4.9,3.4338944347882108,1.1,33.4
1998,0.0,5.471379738968304,4.6,3.354232827262245,1.0,30.1
1999,0.0,5.167277812305779,4.3,3.1527925439012026,0.7,34.4
2000,0.0,4.546395276569298,4.1,2.048393624109833,1.4,17.3
2001,0.0,5.22510876320696,4.8,2.2329192237626017,1.6,18.6
2002,0.0,5.947731510254817,5.5,2.3347657278726617,1.6,19.9
2003,0.0,6.190211311373523,5.8,2.324615320174825,1.9,20.2
2004,0.0,5.836047234307023,5.5,2.106596543292992,1.6,20.2
2005,0.2175264139216905,5.631828090937404,5.2,2.2027883186245103,2.0,21.0
2006,0.2175264139216905,5.11245717844908,4.7,2.070547184353969,1.7,20.7
2007,0.0,5.072405220633934,4.7,2.1363332304715774,1.4,20.2
2008,0.0,6.001367308887507,5.7,2.411340808775262,1.3,22.5
2009,0.0,9.255034182722186,8.9,3.4723108041865065,1.9,28.2
2010,0.0,9.539813664596274,9.2,3.512501787405008,2.0,29.1
2011,0.0,8.906987577639752,8.6,3.384572603971933,1.4,28.9
2012,0.0,8.037111801242236,7.8,3.1925139184544173,1.1,27.4
2013,0.0,7.586832298136646,7.2,3.1451783978372543,1.2,27.4
2014,0.0,6.4803105590062104,6.1,2.8784915284168813,1.2,26.4
2015,0.0,5.733664596273292,5.3,2.4706321506669666,1.8,24.6
2016,0.0,5.484658385093168,5.1,2.3046828972727567,1.8,24.5
2017,0.0,4.840776397515528,4.4,2.1492722609369133,1.6,27.8
2018,0.0,4.320931677018633,4.0,1.8390072220897034,1.6,21.2
2019,0.0,4.140248447204969,3.8,1.7543788735117174,1.5,21.1
2020,2.4216081962123566,6.84988864142539,6.7,2.2873046146220775,2.0,23.2
2021,0.0,4.796119217634275,4.5,1.819931188568501,1.6,18.7
2022,0.0,3.6972058366966785,3.5,1.3314372345257024,1.2,15.4
2023,0.0,3.6952809686432784,3.5,1.328335280807174,1.3,17.6
2024,0.0,4.043309531201491,3.8,1.3819115755387121,1.3,18.4
