Year,Percent_Missing,Mean,Median,Std,Min,Max
1975,17.395500779567897,9657.677691892864,9110.0,3883.6076739819537,73.0,162303.0
1976,16.091214525698764,10324.982620548646,9847.0,3033.1765236023753,2007.0,56509.0
1977,15.10454217736121,10962.570276008493,10463.0,3194.6970612029168,2380.0,46697.0
1978,4.971784971784972,11136.2583447931,10493.5,3205.8823498588536,3366.0,48147.0
1979,3.5637212015164774,11898.67067860167,11302.0,3276.2197150424736,3826.0,53046.0
1980,3.2621381886087772,12918.358327803584,12292.0,3539.4273194245975,3188.0,53618.0
1981,3.5548056783802657,14256.180491041805,13481.0,3984.561122301106,3970.0,61782.0
1982,3.785103785103785,15127.430021754895,14405.0,4176.561169260911,4319.0,72505.0
1983,3.8439171900441966,15811.880374962202,15031.0,4356.785291728935,4174.0,72092.0
1984,2.6816809844439287,16467.75981152332,15668.5,4520.986377728073,4015.0,77871.0
1985,2.5606782022993846,17221.633573684525,16421.0,4687.59135161423,4516.0,77597.0
1986,3.001040823406962,17717.405365126677,17054.0,4655.877550123649,4162.0,78773.0
1987,2.4102653025836656,18364.2824567638,17665.0,4833.112140730211,4194.0,82239.0
1988,2.5794910266028044,19019.279883900013,18257.5,5095.092293934662,4985.0,91394.0
1989,2.533686513877692,19552.76001417937,18830.5,5224.075506438212,5710.0,92478.0
1990,0.0,20371.711892017687,19648.0,5315.040563354372,4888.0,57250.0
1991,0.0,21380.31709724238,20481.0,5734.9559681459705,4804.0,60271.0
1992,0.005801810164771409,22485.149985494634,21245.0,6375.333399320724,5521.0,108507.0
1993,0.0,23094.595546018674,21698.0,6636.637303730885,6504.0,76126.0
1994,0.0,23724.217071333373,22269.0,6806.393537975204,6985.0,140888.0
1995,0.0,24263.405098493626,22979.0,6855.560686965727,6955.0,141864.0
1996,0.0,25194.54542294322,23735.5,7080.2091938116755,7932.0,110845.0
1997,0.0,26113.848404101256,24612.0,7351.098360653236,8763.0,101711.0
1998,0.0,27011.161107250406,25573.0,7433.400065714643,8552.0,79993.0
1999,0.0,27633.609319826337,26300.0,7429.961244247588,1776.0,80540.0
2000,0.005788041905423396,28460.75376244501,27100.0,7683.282180535291,8052.0,87785.0
2001,5.543330189667819,29619.532449522965,28061.5,8302.257735283798,2038.0,91709.0
2002,5.493814216816943,30622.84302196583,28893.5,8740.18028939872,2786.0,96036.0
2003,5.5625458739645595,31485.240881585523,29605.0,9117.79575202407,6629.0,102090.0
2004,5.181808655559048,32832.2651268166,30626.0,9846.886470751964,6718.0,126629.0
2005,4.423992051456362,33778.6515292444,31441.0,10250.000275909199,8061.0,177552.0
2006,4.622947390440331,35250.638502028734,32715.5,10596.511660113621,7023.0,117893.0
2008,4.8088972431077694,37865.24573528605,35248.0,11168.30523218491,9179.0,132228.0
2009,4.7693673927806515,38269.90987383434,35668.0,11379.23535279851,8291.0,171077.0
2010,4.978061011282908,38667.92826122808,36063.0,11393.496976478165,6533.0,152161.0
2011,5.3959465106560796,40292.37397161946,37123.0,12505.547433485632,7587.0,147789.0
2012,5.432795277647181,40932.37645694084,37806.0,12532.803734233,10777.0,145389.0
2013,5.3156664068589246,41392.04692130392,38344.5,12421.806435315782,7372.0,151959.0
2014,5.227603408854708,42392.30683188946,39201.0,12864.362746001878,4822.0,165296.0
2015,4.658046424676741,43580.14106753813,40352.5,13193.655803260403,5155.0,140690.0
2016,4.480715251065599,43888.270624727906,40765.0,13103.419821605139,12722.0,144532.0
2017,4.594355802712957,45066.050770823116,41790.0,13432.371940265673,8407.0,145941.0
2018,4.574280070693419,46580.10333369648,43180.0,14128.299543759715,9599.0,154885.0
2019,4.714627300135149,47553.782772352846,44300.0,14159.551249964876,10384.0,158342.0
2020,4.7797173732335825,49556.19085552161,46397.5,14282.380774399991,14191.0,169418.0
2021,4.8314198140163125,52062.75882963044,48618.0,15332.464274475087,8972.0,214377.0
2022,1.6981719983381802,54546.95937450473,51174.0,16427.374367393473,10372.0,485606.0
2023,1.5946395179721586,57121.37149643705,53415.0,17352.073219760634,10786.0,516018.0
2024,1.476760453909529,59637.38760913011,55661.0,18250.829880597965,11194.0,488371.0
