FIPS_Code,Year,Average_Annual_Pay
US000,1975,10029.0
01000,1975,8957.0
01001,1975,7295.0
01003,1975,
01005,1975,
01007,1975,6144.0
01009,1975,7121.0
01011,1975,5987.0
01013,1975,6434.0
01015,1975,
01017,1975,7364.0
01019,1975,6514.0
01021,1975,6050.0
01023,1975,9430.0
01025,1975,
01027,1975,6208.0
01029,1975,
01031,1975,
01033,1975,11318.0
01035,1975,6375.0
01037,1975,6269.0
01039,1975,
01041,1975,5767.0
01043,1975,6801.0
01045,1975,
01047,1975,
01049,1975,
01051,1975,6478.0
01053,1975,
01055,1975,
01057,1975,
01059,1975,
01061,1975,5614.0
01063,1975,6226.0
01065,1975,5788.0
01067,1975,6123.0
01069,1975,8022.0
01071,1975,
01073,1975,10075.0
01075,1975,6463.0
01077,1975,
01079,1975,9469.0
01081,1975,8341.0
01083,1975,
01085,1975,5669.0
01087,1975,8723.0
01089,1975,
01091,1975,7726.0
01093,1975,7209.0
01095,1975,
01097,1975,9276.0
01099,1975,
01101,1975,8667.0
01103,1975,
01105,1975,5754.0
01107,1975,6784.0
01109,1975,
01111,1975,
01113,1975,7237.0
01115,1975,7565.0
01117,1975,
01119,1975,
01121,1975,8077.0
01123,1975,
01125,1975,8703.0
01127,1975,9009.0
01129,1975,11526.0
01131,1975,7979.0
01133,1975,7043.0
01999,1975,11185.0
02000,1975,20470.0
02010,1975,15326.0
02020,1975,17080.0
02030,1975,
02040,1975,37529.0
02050,1975,9929.0
02060,1975,
02070,1975,12493.0
02080,1975,14099.0
02090,1975,25127.0
02100,1975,
02110,1975,14639.0
02120,1975,18986.0
02130,1975,13883.0
02140,1975,13153.0
02150,1975,13688.0
02160,1975,13523.0
02170,1975,14877.0
02180,1975,11426.0
02190,1975,9976.0
02200,1975,
02210,1975,14083.0
02220,1975,
02230,1975,9757.0
02240,1975,
02250,1975,30415.0
02260,1975,
02270,1975,
02280,1975,
02290,1975,
04000,1975,9579.0
04001,1975,8943.0
04003,1975,9886.0
04005,1975,9269.0
04007,1975,10451.0
04009,1975,7288.0
04011,1975,13066.0
04013,1975,9770.0
04015,1975,8367.0
04017,1975,9171.0
04019,1975,9022.0
04021,1975,10595.0
04023,1975,7559.0
04025,1975,8609.0
04027,1975,8356.0
04999,1975,11706.0
05000,1975,7927.0
05001,1975,
05003,1975,
05005,1975,
05007,1975,
05009,1975,
05011,1975,
05013,1975,
05015,1975,
05017,1975,
05019,1975,
05021,1975,
05023,1975,
05025,1975,
05027,1975,
05029,1975,
05031,1975,
05033,1975,
05035,1975,
05037,1975,
05039,1975,
05041,1975,
05043,1975,
05045,1975,
05047,1975,
05049,1975,
05051,1975,
05053,1975,
05055,1975,
05057,1975,
05059,1975,
05061,1975,
05063,1975,
05065,1975,
05067,1975,
05069,1975,
05071,1975,
05073,1975,
05075,1975,
05077,1975,
05079,1975,
05081,1975,
05083,1975,
05085,1975,
05087,1975,
05089,1975,
05091,1975,
05093,1975,
05095,1975,
05097,1975,
05099,1975,
05101,1975,
05103,1975,
05105,1975,
05107,1975,
05109,1975,
05111,1975,
05113,1975,
05115,1975,
05117,1975,
05119,1975,8907.0
05121,1975,
05123,1975,
05125,1975,
05127,1975,
05129,1975,
05131,1975,
05133,1975,
05135,1975,
05137,1975,
05139,1975,
05141,1975,
05143,1975,7490.0
05145,1975,
05147,1975,
05149,1975,
05999,1975,11626.0
06000,1975,10670.0
06001,1975,11462.0
06003,1975,7638.0
06005,1975,9689.0
06007,1975,8516.0
06009,1975,8422.0
06011,1975,8190.0
06013,1975,10896.0
06015,1975,9101.0
