Year,Region,Annual_CPI
1990,Midwest,127.4
1991,Midwest,132.4
1992,Midwest,136.1
1993,Midwest,140.0
1994,Midwest,144.0
1995,Midwest,148.4
1996,Midwest,153.0
1997,Midwest,156.7
1998,Midwest,159.3
1999,Midwest,162.7
2000,Midwest,168.3
2001,Midwest,172.8
2002,Midwest,174.9
2003,Midwest,178.3
2004,Midwest,182.6
2005,Midwest,188.4
2006,Midwest,193.0
2007,Midwest,198.123
2008,Midwest,205.382
2009,Midwest,204.064
2010,Midwest,208.046
2011,Midwest,214.743
2012,Midwest,219.1
2013,Midwest,222.17
2014,Midwest,225.425
2015,Midwest,224.21
2016,Midwest,226.115
2017,Midwest,229.874
2018,Midwest,234.29
2019,Midwest,237.776
2020,Midwest,240.04
2021,Midwest,252.242
2022,Midwest,272.401
1990,Northeast,136.3
1991,Northeast,142.5
1992,Northeast,147.3
1993,Northeast,151.4
1994,Northeast,155.1
1995,Northeast,159.1
1996,Northeast,163.6
1997,Northeast,167.6
1998,Northeast,170.0
1999,Northeast,173.5
2000,Northeast,179.4
2001,Northeast,184.4
2002,Northeast,188.2
2003,Northeast,193.5
2004,Northeast,200.2
2005,Northeast,207.5
2006,Northeast,215.0
2007,Northeast,220.512
2008,Northeast,229.306
2009,Northeast,229.343
2010,Northeast,233.868
2011,Northeast,240.997
2012,Northeast,245.698
2013,Northeast,249.038
2014,Northeast,252.463
2015,Northeast,252.185
2016,Northeast,254.85
2017,Northeast,259.538
2018,Northeast,265.139
2019,Northeast,269.392
2020,Northeast,272.908
2021,Northeast,283.557
2022,Northeast,303.32
1990,South,127.9
1991,South,132.9
1992,South,136.5
1993,South,140.8
1994,South,144.7
1995,South,149.0
1996,South,153.6
1997,South,156.9
1998,South,158.9
1999,South,162.0
2000,South,167.2
2001,South,171.1
2002,South,173.3
2003,South,177.3
2004,South,181.8
2005,South,188.3
2006,South,194.7
2007,South,200.361
2008,South,208.681
2009,South,207.845
2010,South,211.338
2011,South,218.618
2012,South,223.242
2013,South,226.721
2014,South,230.552
2015,South,230.147
2016,South,232.692
2017,South,237.456
2018,South,242.737
2019,South,246.265
2020,South,248.639
2021,South,261.259
2022,South,283.666
1990,West,131.5
1991,West,137.3
1992,West,142.0
1993,West,146.2
1994,West,149.6
1995,West,153.5
1996,West,157.6
1997,West,161.4
1998,West,164.4
1999,West,168.9
2000,West,174.8
2001,West,181.2
2002,West,184.7
2003,West,188.6
2004,West,193.0
2005,West,198.9
2006,West,205.7
2007,West,212.23
2008,West,219.646
2009,West,218.822
2010,West,221.203
2011,West,227.485
2012,West,232.376
2013,West,235.824
2014,West,240.215
2015,West,243.015
2016,West,247.705
2017,West,254.738
2018,West,263.263
2019,West,270.35
2020,West,275.057
2021,West,287.494
2022,West,310.509
