,count,mean,std,min,25%,50%,75%,max,Category
id,57755.0,600544.2828326551,345110.7238403628,201.0,309501.0,604004.0,875703.0,1267501.0,
period,57755.0,1.0,1.4142258057453352,-1.0,0.0,1.0,2.0,3.0,
year,55430.0,1994.2157661314568,8.654108855153376,1979.0,1987.5,1993.5,2000.0,2020.0,
MPUBID_XRND,57755.0,6005.423166825383,3451.1074627970615,2.0,3095.0,6040.0,8757.0,12675.0,
CRACE_XRND,57755.0,2.338239113496667,0.7803325214454374,1.0,2.0,3.0,3.0,3.0,
CSEX_XRND,57745.0,1.4893064334574422,0.4998899630002677,1.0,1.0,1.0,2.0,2.0,
CYRB_XRND,57755.0,1986.1033676737945,6.426807599670453,1970.0,1981.0,1985.0,1990.0,2014.0,
HGC_OF_MOTHER_AS_OF_MAY_1_R,54646.0,12.466817709814075,2.484366707716468,-14.438948995363276,12.0,12.0,14.0,25.520467836257257,Parent_Characteristics
HOW_MANY_BOOKS,34748.0,15.630874867165286,6.059723649983229,-2.890625,12.0,20.0,20.0,20.9,Monetary_Investment
HOW_OFTEN_MOM_READS,36256.0,2.2110965339477353,2.155451312049295,0.0,1.0,1.1507479861910241,3.0,7.0,Time_Investment
HOW_OFT_CH_EATS_W,34004.0,5.804102613982701,4.632903728238613,-8.051100402761794,1.0,7.0,7.0,20.562499999999996,Time_Investment
MOM_HELPS_CH_LEARN_NUMBERS,30256.0,1.0026007238233738,0.10671488051522358,0.0,1.0,1.0,1.0,5.0,Time_Investment
MOM_HELPS_CH_LEARN_ALPHABET,29648.0,1.7674054742309768,0.42960451270792266,0.0,2.0,2.0,2.0,3.0,Time_Investment
MOM_HELPS_CH_LEARN_COLORS,30108.0,2.5383318663920993,0.8454487856226213,0.0,3.0,3.0,3.0,6.0,Time_Investment
MOM_HELPS_CH_LEARN_SHAPES,27220.0,3.237727110376357,1.3019826123304252,0.0,2.0,4.0,4.0,4.0,Time_Investment
HOW_OFT_CH_TAKEN_TO_MUSEUM,33908.0,0.07376925608879654,0.12507739167004506,-1.237379807692308,0.008653846153846154,0.028846153846153848,0.1346153846153846,1.8112980769230766,Time_Investment
MUSIC_INSTMT_CH,34784.0,0.5066549780904325,0.48560783167550436,-0.625,0.0,0.5,1.0,2.0,Monetary_Investment
CH_GET_SPEC_LESSON,34772.0,0.6157221826397519,0.46841691078913555,-0.71875,0.0,1.0,1.0,2.0,Monetary_Investment
HOW_OFT_CH_TAKEN_TO_PERFORMANCE,33656.0,0.054542945518713776,0.11103318951815698,-0.32724222968487204,0.0,0.028846153846153844,0.05384615384615384,1.0,Time_Investment
HOW_OFT_CH_SPEND_TIME_W_DAD,33992.0,2.092263695119728,1.6032608415473282,-1.5,1.0,1.0,3.0,7.78125,Time_Investment
