FIPS,Year,student_pop,real_TCURELSC_per_student
01001,1990,6867.0,6905.198662900709
01001,1991,,6907.7269560594605
01001,1992,,6910.255249218212
01001,1993,,6912.783542376964
01001,1994,,6915.3118355357155
01001,1995,7568.0,6917.840128694467
01001,1996,7834.0,7220.586362995702
01001,1997,8099.0,8029.29623852562
01001,1998,8211.0,8794.808710689793
01001,1999,8489.0,8792.244429610433
01001,2000,8912.0,8849.827030164157
01001,2001,8626.0,9307.859849857912
01001,2002,8762.0,9221.423676414164
01001,2003,8940.0,9364.518801157305
01001,2004,9105.0,9328.434551307959
01001,2005,9200.0,9716.16015146967
01001,2006,9559.0,10057.04302417667
01001,2007,9652.0,10968.314966040793
01001,2008,9852.0,11398.588170044775
01001,2009,9923.0,11199.34554793554
01001,2010,10076.0,10961.607181609756
01001,2011,9904.0,10812.631736082283
01001,2012,9825.0,9965.2744851586
01001,2013,9717.0,9936.227638824841
01001,2014,9556.0,10114.582991248144
01001,2015,9664.0,10278.103064965935
01001,2016,9609.0,10275.505795594205
01001,2017,9307.0,10725.686565043346
01001,2018,9247.0,10590.326686523571
01001,2019,9094.0,10944.245269320347
01001,2020,9120.0,10931.832060403503
01001,2021,8955.0,10914.589551117684
01001,2022,9008.0,11353.17377356421
01003,1990,16965.0,7403.922208419255
01003,1991,,7573.4282089366225
01003,1992,,7742.934209453991
01003,1993,,7912.440209971358
01003,1994,,8081.946210488726
01003,1995,19961.0,8251.452211006093
01003,1996,20699.0,8490.630743282687
01003,1997,21410.0,8934.190762225498
01003,1998,21771.0,9567.934971837265
01003,1999,22176.0,10288.19046394278
01003,2000,22337.0,10744.807572476675
01003,2001,22656.0,10802.88533174342
01003,2002,23062.0,11075.921211508274
01003,2003,23411.0,11900.09830223561
01003,2004,24037.0,11667.25171081821
01003,2005,24443.0,12591.710641830736
01003,2006,25958.0,13219.472405999924
01003,2007,26286.0,14216.386253824554
01003,2008,26512.0,15123.745313976944
01003,2009,27120.0,14183.9488043159
01003,2010,27880.0,12269.224112603155
01003,2011,28199.0,11967.987656296209
01003,2012,28700.0,11405.78090799856
01003,2013,29419.0,11205.410555422357
01003,2014,30281.0,12004.127235588237
01003,2015,30596.0,12023.066515055261
01003,2016,30931.0,12053.837465999224
01003,2017,31268.0,11977.662607460668
01003,2018,31782.0,11994.551053703282
01003,2019,32267.0,12790.934299784427
01003,2020,32823.0,13411.671323494535
01003,2021,32436.0,13870.629860760595
01003,2022,34150.0,13222.512548241653
01005,1990,5144.0,8186.306765467286
01005,1991,,8424.699758068267
01005,1992,,8663.092750669248
01005,1993,,8901.485743270228
01005,1994,,9139.878735871209
01005,1995,5017.0,9378.27172847219
01005,1996,5053.0,9180.123116836532
01005,1997,5100.0,9039.471375548306
01005,1998,5024.0,9817.939341131105
01005,1999,4906.0,10329.019265902674
01005,2000,4793.0,10550.61870031755
01005,2001,4671.0,10743.095571729067
01005,2002,4554.0,11084.719976300295
01005,2003,4366.0,11740.876728057317
01005,2004,4329.0,11501.490701160667
01005,2005,4265.0,11642.570067594363
01005,2006,4155.0,12463.411203140751
01005,2007,4057.0,13245.90270588209
01005,2008,3935.0,14154.24819873809
01005,2009,3964.0,13426.429896784015
01005,2010,3905.0,13356.888030362828
01005,2011,3841.0,12666.623221598935
01005,2012,3819.0,12103.719386018785
01005,2013,3866.0,11822.131626083643
01005,2014,3821.0,12134.72507192074
01005,2015,3754.0,12413.702424407033
01005,2016,3754.0,12512.077033542071
01005,2017,4796.0,10019.711074588302
01005,2018,5443.0,8819.193569092706
01005,2019,6182.0,7842.035191789272
01005,2020,6403.0,7402.7213426796925
01005,2021,7115.0,6546.351634963833
01005,2022,7517.0,9256.892112795958
01007,1990,3635.0,6995.754291361997
01007,1991,,7216.173060880408
01007,1992,,7436.591830398819
01007,1993,,7657.01059991723
01007,1994,,7877.42936943564
01007,1995,3539.0,8097.848138954051
01007,1996,3656.0,8152.512208811999
01007,1997,3717.0,8444.442901227423
01007,1998,3760.0,8709.571790099486
01007,1999,3689.0,9205.473898041893
01007,2000,3646.0,9687.162079699323
01007,2001,3556.0,10181.315204535727
01007,2002,3595.0,10370.002415677991
01007,2003,3600.0,10836.578460863571
01007,2004,3529.0,11017.625296108528
01007,2005,3559.0,11062.077292919881
01007,2006,3533.0,11649.595253556932
01007,2007,3506.0,12486.093519622636
01007,2008,3549.0,13135.341888540086
01007,2009,3565.0,12957.522660324777
01007,2010,3590.0,12335.4206047997
01007,2011,3512.0,11934.13051996481
01007,2012,3539.0,10864.006517999609
01007,2013,3475.0,10858.877892547487
01007,2014,3448.0,10960.157590913252
01007,2015,3357.0,11681.069973540723
01007,2016,3322.0,11963.573369817339
01007,2017,3291.0,12147.094561411019
01007,2018,3252.0,12183.095694644806
01007,2019,3236.0,12540.307572136371
01007,2020,3243.0,12784.75208675251
01007,2021,3117.0,12759.957626915453
01007,2022,3076.0,14171.489131199252
01009,1990,7137.0,6998.968145278658
01009,1991,,7135.659911830711
01009,1992,,7272.351678382764
01009,1993,,7409.043444934817
01009,1994,,7545.735211486869
01009,1995,7421.0,7682.426978038922
01009,1996,7622.0,7636.317550484343
01009,1997,7816.0,8097.469898813565
01009,1998,8054.0,8460.811876660733
01009,1999,8135.0,9012.742607389197
01009,2000,8346.0,9265.657516364601
01009,2001,8517.0,9448.723208857837
01009,2002,8652.0,9267.947479497683
01009,2003,8824.0,9733.652618429252
01009,2004,9042.0,9624.148789574821
01009,2005,9118.0,10027.17774637528
01009,2006,9342.0,10636.450832525423
01009,2007,9613.0,11143.924226445664
01009,2008,9790.0,11558.75931446827
01009,2009,9806.0,11569.076961881008
01009,2010,9909.0,11106.350989644983
01009,2011,9946.0,10692.960909586183
01009,2012,9887.0,10231.095109881102
01009,2013,9806.0,10402.690140031216
01009,2014,9735.0,10586.075074986287
01009,2015,9567.0,10862.732857289726
01009,2016,9347.0,10978.486867264326
01009,2017,9285.0,11536.922730793838
01009,2018,9273.0,11673.19559006961
01009,2019,9154.0,11521.393991538369
01009,2020,9141.0,11571.436823080054
01009,2021,9190.0,10853.553655711536
01009,2022,9084.0,11956.119347608288
01011,1990,1978.0,8165.324827994569
01011,1991,,8308.798517663363
01011,1992,,8452.272207332157
01011,1993,,8595.745897000952
01011,1994,,8739.219586669746
01011,1995,1972.0,8882.69327633854
01011,1996,1989.0,9260.765918279705
01011,1997,2010.0,9217.957059825156
01011,1998,1989.0,9695.305299347798
01011,1999,1945.0,10043.497413437432
01011,2000,1953.0,10451.171611825263
01011,2001,1981.0,10886.747007146501
01011,2002,1916.0,11361.656388875166
01011,2003,1893.0,11647.773478386394
01011,2004,1820.0,12432.295180067456
01011,2005,1781.0,12639.209595115492
01011,2006,1807.0,12279.690719393195
01011,2007,1696.0,13595.330416805213
01011,2008,1678.0,14221.761361112563
01011,2009,1616.0,14373.8199567509
01011,2010,1637.0,13827.052459596332
01011,2011,1579.0,13397.764427378106
01011,2012,1557.0,12788.507182159567
01011,2013,1524.0,14942.210876478066
01011,2014,1506.0,15094.513683356032
01011,2015,1519.0,14882.191976148697
01011,2016,1505.0,12882.965707795736
01011,2017,1476.0,13449.845633361327
01011,2018,1462.0,12902.237162020063
01011,2019,1438.0,13028.864306451882
01011,2020,1459.0,13080.190600121923
01011,2021,1434.0,13825.911961135856
01011,2022,1443.0,15325.952208765093
01013,1990,4578.0,7268.085014812317
01013,1991,,7447.451061639147
01013,1992,,7626.817108465976
01013,1993,,7806.183155292806
01013,1994,,7985.549202119635
01013,1995,4300.0,8164.915248946465
01013,1996,4173.0,8521.158308121656
01013,1997,4119.0,8886.218028316598
01013,1998,3989.0,9514.65255065022
01013,1999,3850.0,9960.74202340869
01013,2000,3665.0,10593.213476765211
01013,2001,3632.0,10835.515110827322
01013,2002,3601.0,11037.878655557144
01013,2003,3526.0,11088.091236832566
01013,2004,3557.0,11018.700942346131
01013,2005,3548.0,11410.031965829672
01013,2006,3503.0,12233.228367907117
01013,2007,3429.0,13049.109378860161
01013,2008,3379.0,13951.009127143527
01013,2009,3347.0,13805.542863520792
01013,2010,3382.0,12761.828931476042
01013,2011,3368.0,11821.073044275172
01013,2012,3351.0,11513.343244574016
01013,2013,3245.0,12057.485803383752
01013,2014,3294.0,11731.970247989391
01013,2015,3191.0,12449.343669314008
01013,2016,3135.0,12416.16376012691
01013,2017,3131.0,11969.949843729459
01013,2018,3061.0,11916.93433056558
01013,2019,3015.0,12133.293427016879
01013,2020,2952.0,12024.743870945076
01013,2021,2959.0,12043.356912395484
01013,2022,2927.0,12715.519448230823
01015,1990,20823.0,7206.263657829795
01015,1991,,7397.238074922289
01015,1992,,7588.212492014784
01015,1993,,7779.186909107279
01015,1994,,7970.161326199774
01015,1995,19619.0,8161.135743292268
01015,1996,19665.0,8297.324620995423
01015,1997,19721.0,8619.431735553546
01015,1998,19565.0,9260.818201804927
01015,1999,19267.0,9792.955203261254
01015,2000,18291.0,10430.218773109584
01015,2001,18175.0,10531.004255175469
01015,2002,18075.0,10616.075545967584
01015,2003,18075.0,10861.700893766103
01015,2004,18133.0,10786.966302100898
01015,2005,18090.0,11294.812360572778
01015,2006,18358.0,11909.76108178418
01015,2007,18259.0,12834.942190532354
01015,2008,18428.0,13062.902039972156
01015,2009,18539.0,12632.05482049514
01015,2010,18563.0,12727.061673492672
01015,2011,18636.0,12304.641959610664
01015,2012,18441.0,12122.025368677332
01015,2013,18238.0,12330.15130014545
01015,2014,18440.0,12249.959523720454
01015,2015,18345.0,12538.053501854727
01015,2016,18115.0,12668.217742732862
01015,2017,17925.0,12800.133977107595
01015,2018,17567.0,12897.483106429483
01015,2019,17351.0,13119.703488556004
01015,2020,17402.0,12786.19339484637
01015,2021,16987.0,12959.93277078998
01015,2022,17049.0,13170.190806023757
01017,1990,6801.0,7633.2588720395825
01017,1991,,7950.104920800619
01017,1992,,8266.950969561654
01017,1993,,8583.79701832269
01017,1994,,8900.643067083727
01017,1995,5750.0,9217.489115844763
01017,1996,5732.0,9380.33815549401
01017,1997,5733.0,9640.39451802358
01017,1998,5739.0,9868.580065226704
01017,1999,5686.0,10030.150293334722
01017,2000,5591.0,10313.206396301643
01017,2001,5557.0,10344.020268347998
01017,2002,5482.0,10442.241334121236
01017,2003,5445.0,10500.875234423918
01017,2004,5410.0,10626.79489760436
01017,2005,5317.0,11107.748261046268
01017,2006,5327.0,11381.515356882292
01017,2007,5217.0,12187.767898953889
01017,2008,5125.0,12592.406778884468
01017,2009,5030.0,12243.315683851615
01017,2010,4953.0,12336.635048653705
01017,2011,4881.0,11713.98125621708
01017,2012,4773.0,11233.368863497228
01017,2013,4733.0,11415.24035923705
01017,2014,4681.0,12426.917639660673
01017,2015,4681.0,12196.909914185633
01017,2016,4592.0,12550.38784127076
01017,2017,4537.0,12444.772107668
01017,2018,4557.0,12361.932815540898
01017,2019,4470.0,12989.656883231452
01017,2020,4432.0,12650.845934509345
01017,2021,4352.0,13254.041624769245
01017,2022,4317.0,13188.562657906718
01019,1990,3787.0,7415.734211087559
01019,1991,,7652.822466975167
01019,1992,,7889.910722862775
01019,1993,,8126.998978750384
01019,1994,,8364.087234637991
01019,1995,3714.0,8601.1754905256
01019,1996,3794.0,8612.831664030926
01019,1997,3815.0,9379.971883152195
01019,1998,3884.0,9536.533350098092
01019,1999,3933.0,9756.443891980802
01019,2000,3962.0,10129.186300959596
01019,2001,3919.0,10827.01905282735
01019,2002,3993.0,10717.681794265181
01019,2003,4101.0,10813.934202008422
01019,2004,4204.0,10772.61296538788
01019,2005,4225.0,11759.8931580287
01019,2006,4196.0,12230.657220930445
01019,2007,4158.0,13035.233548706732
01019,2008,4164.0,13646.591064508779
01019,2009,4084.0,13754.048971690721
01019,2010,4105.0,13188.495355426337
01019,2011,4081.0,12250.466261822678
01019,2012,4087.0,11617.066136935333
01019,2013,4123.0,11922.517578570658
01019,2014,4049.0,12102.33605506973
01019,2015,4047.0,12366.060226551801
01019,2016,4042.0,12392.69357408939
01019,2017,4021.0,12444.368756133257
01019,2018,3972.0,13721.244292094369
01019,2019,3934.0,13762.167432173841
01019,2020,3897.0,13408.910760939547
01019,2021,3833.0,13105.216880685624
01019,2022,3895.0,13530.893385463442
01021,1990,6135.0,7519.606482499252
01021,1991,,7653.7353857899125
01021,1992,,7787.864289080573
01021,1993,,7921.993192371233
01021,1994,,8056.122095661894
01021,1995,6228.0,8190.250998952554
01021,1996,6257.0,8133.36625479463
01021,1997,6355.0,8564.067778591805
01021,1998,6413.0,8889.892178381762
01021,1999,6562.0,9612.161020616268
01021,2000,6663.0,9927.254397813535
01021,2001,6785.0,10167.501626951534
01021,2002,6855.0,10036.000190240255
01021,2003,6995.0,10354.87083473934
01021,2004,7102.0,10026.836131937609
01021,2005,7210.0,10215.953752201425
01021,2006,7276.0,11205.301823219099
01021,2007,7453.0,11596.448927597938
01021,2008,7632.0,11885.179659982163
01021,2009,7617.0,11689.181497357336
01021,2010,7765.0,11382.963727072103
01021,2011,7859.0,10981.114006302085
01021,2012,7739.0,10488.624678993789
01021,2013,7663.0,10642.084616301863
01021,2014,7670.0,10907.354744735303
01021,2015,7620.0,11099.131985791073
01021,2016,7743.0,11199.105779731914
01021,2017,7756.0,11236.221827858017
01021,2018,7688.0,11136.8958195129
01021,2019,7837.0,11193.524065669726
01021,2020,7831.0,11074.681730666995
01021,2021,7705.0,11576.040840663536
01021,2022,7723.0,11255.527311917027
01023,1990,3196.0,8010.405403157386
01023,1991,,8287.127267388782
01023,1992,,8563.849131620178
01023,1993,,8840.570995851574
01023,1994,,9117.29286008297
01023,1995,2929.0,9394.014724314366
01023,1996,2719.0,9647.491226860364
01023,1997,2627.0,9823.286540249886
01023,1998,2557.0,10155.111906677532
01023,1999,2431.0,10450.772176262371
01023,2000,2333.0,10974.903198748147
01023,2001,2262.0,11572.01180689159
01023,2002,2198.0,11972.722933874207
01023,2003,2204.0,11665.133024813624
01023,2004,2147.0,11845.587749273294
01023,2005,2072.0,12222.925812543443
01023,2006,2046.0,12891.936161656326
01023,2007,2035.0,13252.449108229424
01023,2008,1979.0,13909.822719881442
01023,2009,1886.0,13679.711819265756
01023,2010,1848.0,14057.970840825794
01023,2011,1769.0,13237.144547586899
01023,2012,1790.0,11561.118958062347
01023,2013,1721.0,12430.239030024079
01023,2014,1666.0,12384.66898609265
01023,2015,1575.0,12882.692986904643
01023,2016,1495.0,13314.514192386714
01023,2017,1417.0,13910.102936813591
01023,2018,1381.0,13644.956953422412
01023,2019,1300.0,14299.243310442627
01023,2020,1242.0,15231.447536621248
01023,2021,1126.0,15792.828764133712
01023,2022,1067.0,17018.291856908872
01025,1990,6095.0,6923.487958765981
01025,1991,,7181.846097601183
01025,1992,,7440.204236436384
01025,1993,,7698.5623752715865
01025,1994,,7956.920514106789
01025,1995,5677.0,8215.27865294199
01025,1996,5603.0,8639.481406909988
01025,1997,5590.0,8946.34311247322
01025,1998,5517.0,9414.385514514152
01025,1999,5391.0,9946.825413182922
01025,2000,5312.0,10392.191260556581
01025,2001,5280.0,10674.525463577918
01025,2002,5245.0,10801.91922953578
01025,2003,5250.0,10975.160959364004
01025,2004,5195.0,11106.452955208899
01025,2005,5196.0,11393.348349582197
01025,2006,5151.0,12158.576475793143
01025,2007,5050.0,12825.505012956564
01025,2008,4960.0,13421.064637011172
01025,2009,5013.0,13022.171990295461
01025,2010,4978.0,12849.873153750372
01025,2011,4928.0,12246.928179771083
01025,2012,4764.0,11702.638688037925
01025,2013,4715.0,11842.071060912136
01025,2014,4556.0,12296.000535082561
01025,2015,4287.0,12880.698092057955
01025,2016,4056.0,13166.243729044472
01025,2017,3962.0,13382.92326389835
01025,2018,3746.0,13287.075157117542
01025,2019,3618.0,13504.087720629119
01025,2020,3522.0,13385.436129165084
01025,2021,3375.0,13642.005598814741
01025,2022,3338.0,14668.620756221722
01027,1990,2671.0,7365.43841433589
01027,1991,,7551.053243629293
01027,1992,,7736.668072922696
01027,1993,,7922.282902216099
01027,1994,,8107.897731509502
01027,1995,2616.0,8293.512560802905
01027,1996,2635.0,8613.387739168247
01027,1997,2593.0,9622.077333763968
01027,1998,2574.0,9476.762102312761
01027,1999,2553.0,9641.898903734653
01027,2000,2503.0,10141.053941012413
01027,2001,2426.0,10183.627061788737
01027,2002,2339.0,10270.447888447648
01027,2003,2330.0,10827.767732002934
01027,2004,2029.0,11816.725413300323
01027,2005,2064.0,11241.991791097002
01027,2006,2111.0,11344.77874960737
01027,2007,2135.0,11866.12193094509
01027,2008,2129.0,12679.138057697242
01027,2009,2130.0,12605.116646941558
01027,2010,2111.0,12234.830033931603
01027,2011,2066.0,11975.28685809353
01027,2012,2038.0,11435.361814525195
01027,2013,2058.0,11370.311684291042
01027,2014,2013.0,11653.712551678604
01027,2015,2031.0,11501.630611755712
01027,2016,1978.0,11500.032972325476
01027,2017,1936.0,11751.941012055613
01027,2018,1911.0,11746.07221710524
01027,2019,1868.0,12023.655685752423
01027,2020,1840.0,12223.09951025557
01027,2021,1804.0,12342.69916705317
01027,2022,1826.0,12419.628126746009
01029,1990,2399.0,7735.3516793060435
01029,1991,,7788.2241620172745
01029,1992,,7841.096644728505
01029,1993,,7893.969127439736
01029,1994,,7946.841610150967
01029,1995,2446.0,7999.714092862198
01029,1996,2488.0,8225.089806069132
01029,1997,2527.0,8513.313070338118
01029,1998,2498.0,9193.69126515813
01029,1999,2564.0,9463.836164557693
01029,2000,2557.0,9894.605155563208
01029,2001,2558.0,10212.16622973548
01029,2002,2571.0,10220.938054014965
01029,2003,2643.0,10349.469989472986
01029,2004,2611.0,10300.265989831461
01029,2005,2503.0,11023.414282043703
01029,2006,2894.0,10144.303837456238
01029,2007,2703.0,11612.516285647876
01029,2008,2630.0,13052.565923614047
01029,2009,2657.0,12698.096683375552
01029,2010,2651.0,12627.351233738542
01029,2011,2669.0,11863.786512913413
01029,2012,2676.0,11219.03239620824
01029,2013,2665.0,11613.221539912354
01029,2014,2664.0,12009.348506266773
01029,2015,2697.0,11905.516356162163
01029,2016,2631.0,12151.652658102856
01029,2017,2614.0,11705.820088758232
01029,2018,2584.0,12026.712592950076
01029,2019,2512.0,12575.024690532608
01029,2020,2539.0,11773.916500364572
01029,2021,2510.0,12211.508480182134
01029,2022,2517.0,12503.847092119655
01031,1990,8426.0,7568.8391064776415
01031,1991,,7737.617111424807
01031,1992,,7906.395116371973
01031,1993,,8075.17312131914
01031,1994,,8243.951126266305
01031,1995,8424.0,8412.729131213471
01031,1996,8477.0,8570.651192196532
01031,1997,8440.0,9149.216151803756
01031,1998,8474.0,9414.131598330687
01031,1999,8370.0,10044.859359558683
01031,2000,8212.0,10686.458811588596
01031,2001,8008.0,11098.80395758537
01031,2002,8008.0,11038.830975717876
01031,2003,8202.0,10890.94546293236
01031,2004,8239.0,10971.173552602255
01031,2005,8361.0,11296.478357810645
01031,2006,8709.0,11752.541323131654
01031,2007,8823.0,12849.777024057206
01031,2008,9039.0,12985.437608323942
01031,2009,9127.0,12724.933192784843
01031,2010,9198.0,12813.227967369156
01031,2011,9283.0,12093.512014900864
01031,2012,9311.0,11609.249544346845
01031,2013,9257.0,11972.504876301035
01031,2014,9427.0,11969.714257401223
01031,2015,9360.0,12108.355384457182
01031,2016,9519.0,11879.837941748845
01031,2017,9813.0,11935.419966059884
01031,2018,9887.0,11738.682533683033
01031,2019,9733.0,12059.448589336587
01031,2020,9930.0,11835.035208614265
01031,2021,9829.0,11914.887853921407
01031,2022,10017.0,12124.031190787748
01033,1990,8524.0,9119.349991506298
01033,1991,,9322.390881896245
01033,1992,,9525.43177228619
01033,1993,,9728.472662676135
01033,1994,,9931.513553066081
01033,1995,8646.0,10134.554443456027
01033,1996,8761.0,10316.956376864324
01033,1997,8795.0,10346.218645726558
01033,1998,8701.0,10826.662140857632
01033,1999,8571.0,11385.813776285522
01033,2000,8516.0,11915.25570499437
01033,2001,8532.0,11829.625218142555
01033,2002,8500.0,11951.287464783949
01033,2003,8430.0,12149.103897329052
01033,2004,8507.0,12127.338412693976
01033,2005,8481.0,12975.65850077675
01033,2006,8527.0,13585.674171092773
01033,2007,8417.0,14382.548469953519
01033,2008,8381.0,14731.181882281218
01033,2009,8468.0,14272.025455726796
01033,2010,8379.0,14167.156532523999
01033,2011,8430.0,13348.699026377137
01033,2012,8317.0,12958.705322005942
01033,2013,8216.0,13129.918274315483
01033,2014,8265.0,13213.673333031473
01033,2015,8252.0,13366.135371495933
01033,2016,8131.0,13627.908885963774
01033,2017,8087.0,13944.188545734534
01033,2018,8118.0,13834.3660644973
01033,2019,8030.0,14244.381571259928
01033,2020,8062.0,14241.110845098867
01033,2021,7916.0,14034.487780524483
01033,2022,7987.0,14312.307650461142
01035,1990,2618.0,8456.09125731464
01035,1991,,8556.823202798612
01035,1992,,8657.555148282585
01035,1993,,8758.287093766556
01035,1994,,8859.019039250528
01035,1995,2382.0,8959.7509847345
01035,1996,2386.0,8917.378828758034
01035,1997,2337.0,9104.500357673396
01035,1998,2211.0,10002.244057474512
01035,1999,2159.0,10499.180004460226
01035,2000,2145.0,10672.888435328627
01035,2001,2110.0,10944.973284102589
01035,2002,2061.0,11227.181747245648
01035,2003,1991.0,11983.549492173324
01035,2004,1853.0,12308.665459098527
01035,2005,1847.0,12652.084978842122
01035,2006,1829.0,13063.995217158474
01035,2007,1824.0,14043.85506310233
01035,2008,1661.0,16995.519298225943
01035,2009,1662.0,17738.335626216875
01035,2010,1693.0,15894.754204579483
01035,2011,1709.0,15326.556314465248
01035,2012,1659.0,15513.966984171482
01035,2013,1644.0,14869.910262279229
01035,2014,1559.0,16140.124453744289
01035,2015,1524.0,16507.653552977958
01035,2016,1525.0,15336.902957346276
01035,2017,1858.0,13762.624943888533
01035,2018,1960.0,13496.435799794403
01035,2019,1941.0,13630.845240044953
01035,2020,1955.0,12432.759132533367
01035,2021,1659.0,15041.983573763546
01035,2022,1513.0,16460.260048437944
01037,1990,1968.0,7927.6464876650325
01037,1991,,8027.0934740734865
01037,1992,,8126.5404604819405
01037,1993,,8225.987446890394
01037,1994,,8325.434433298848
01037,1995,1855.0,8424.881419707302
01037,1996,1851.0,8469.384510624886
01037,1997,1851.0,9228.824685741674
01037,1998,1866.0,9784.233378323777
01037,1999,1817.0,9827.037172927834
01037,2000,1735.0,10341.247259490094
01037,2001,1735.0,10168.936041918962
01037,2002,1704.0,10556.055267941558
01037,2003,1708.0,11160.788750328567
01037,2004,1618.0,11448.383558998667
01037,2005,1507.0,11806.527936015358
01037,2006,1497.0,12243.803477525158
01037,2007,1402.0,13214.422218964668
01037,2008,1345.0,14607.803315670673
01037,2009,1349.0,13798.494954605025
01037,2010,1326.0,14302.840522798739
01037,2011,1277.0,13708.739859136333
01037,2012,1176.0,15120.255240537907
01037,2013,1149.0,14468.600214088598
01037,2014,1110.0,13172.538668652343
01037,2015,1052.0,13311.684690992917
01037,2016,1003.0,13617.094413217466
01037,2017,980.0,13499.35077123633
01037,2018,904.0,14287.276615088816
01037,2019,857.0,14626.017959185376
01037,2020,794.0,14771.373543971364
01037,2021,777.0,14302.062210459624
01037,2022,788.0,16901.128466626993
01039,1990,6982.0,7724.486331321308
01039,1991,,7828.205313200327
01039,1992,,7931.924295079345
01039,1993,,8035.643276958364
01039,1994,,8139.362258837383
01039,1995,6904.0,8243.081240716401
01039,1996,6950.0,8391.13412395084
01039,1997,6965.0,8513.294781290591
01039,1998,6855.0,9111.548350048817
01039,1999,6730.0,9499.678241887255
01039,2000,6589.0,9917.728438219128
01039,2001,6482.0,10392.4579345834
01039,2002,6370.0,10710.041117072687
01039,2003,6367.0,10737.620508879194
01039,2004,6323.0,10442.372364707608
01039,2005,6237.0,11094.370608443895
01039,2006,6291.0,11768.318066661948
01039,2007,6250.0,12665.676054721229
01039,2008,6194.0,13313.74941568547
01039,2009,6165.0,12935.89393977439
01039,2010,6165.0,12768.317142551297
01039,2011,6194.0,11953.367420142735
01039,2012,6224.0,11552.047990780591
01039,2013,6234.0,11366.968839181201
01039,2014,6192.0,11544.408350864564
01039,2015,6219.0,11867.603920362726
01039,2016,6280.0,11884.831754854646
01039,2017,6187.0,12129.785180921104
01039,2018,6142.0,12215.629061150448
01039,2019,6166.0,12401.569424496825
01039,2020,6203.0,12146.025720754398
01039,2021,5940.0,12603.358964077637
01039,2022,6108.0,13204.632807620754
01041,1990,2720.0,7380.635434392678
01041,1991,,7581.5559472414025
01041,1992,,7782.476460090128
01041,1993,,7983.396972938853
01041,1994,,8184.317485787578
01041,1995,2382.0,8385.237998636303
01041,1996,2415.0,8461.030505952382
01041,1997,2399.0,8765.859260989084
01041,1998,2356.0,9652.28448768646
01041,1999,2300.0,10361.529522275898
01041,2000,2330.0,10149.979721543421
01041,2001,2387.0,10078.876497646883
01041,2002,2397.0,10412.36051700517
01041,2003,2348.0,11176.540786412887
01041,2004,2449.0,10332.702420915835
01041,2005,2485.0,10478.443683877027
01041,2006,2352.0,11779.13583255593
01041,2007,2518.0,11919.143808808738
01041,2008,2380.0,13220.401055223243
01041,2009,2487.0,12215.784196225915
01041,2010,2414.0,12027.925040474553
01041,2011,2299.0,12238.97582803272
01041,2012,2241.0,11653.578955090752
01041,2013,2240.0,11543.501862263689
01041,2014,2239.0,11533.599242200102
01041,2015,2272.0,11650.048549803167
01041,2016,2239.0,12075.40314962193
01041,2017,2293.0,11859.82245499048
01041,2018,2278.0,11759.320271202016
01041,2019,2248.0,11884.367576142733
01041,2020,2249.0,11719.099801998826
01041,2021,2211.0,11973.571616295914
01041,2022,2250.0,12543.114476571429
01043,1990,11530.0,7080.488605378632
01043,1991,,7281.996452403707
01043,1992,,7483.504299428781
01043,1993,,7685.012146453856
01043,1994,,7886.519993478931
01043,1995,11927.0,8088.027840504005
01043,1996,12060.0,8103.056386902294
01043,1997,11993.0,8577.104064900403
01043,1998,12168.0,9072.417971350535
01043,1999,12242.0,9641.605099626664
01043,2000,12226.0,9994.051670023176
01043,2001,12217.0,10020.913840009947
01043,2002,12109.0,10447.001240940092
01043,2003,12265.0,10529.062264538352
01043,2004,12416.0,10845.665268846471
01043,2005,12520.0,11328.78444939504
01043,2006,12664.0,11991.227209945426
01043,2007,12754.0,12656.130476711583
01043,2008,12818.0,13231.966202711665
01043,2009,12805.0,13019.918229133462
01043,2010,12928.0,12385.407122631394
01043,2011,12793.0,11918.621099272032
01043,2012,12722.0,11419.664817013396
01043,2013,12715.0,11673.385612525235
01043,2014,12727.0,12033.717354523385
01043,2015,12825.0,12273.966301612249
01043,2016,12703.0,12253.660515749792
01043,2017,12696.0,12510.367854519407
01043,2018,12737.0,12271.546816537537
01043,2019,12669.0,12732.780266985912
01043,2020,12506.0,12938.407681342063
01043,2021,12482.0,12534.20605131235
01043,2022,12928.0,12933.418178168049
01045,1990,7707.0,7792.175467140793
01045,1991,,7996.983686305937
01045,1992,,8201.79190547108
01045,1993,,8406.600124636223
01045,1994,,8611.408343801368
01045,1995,7899.0,8816.21656296651
01045,1996,7856.0,8894.06484693228
01045,1997,7796.0,9531.594702517772
01045,1998,7761.0,9655.278782124464
01045,1999,7599.0,9875.511397698529
01045,2000,7414.0,10604.785108478334
01045,2001,7340.0,10511.003492388569
01045,2002,7147.0,10669.71223626246
01045,2003,7143.0,10945.345582654052
01045,2004,7094.0,10741.584639151819
01045,2005,6995.0,11268.977271907668
01045,2006,6901.0,11895.212480092097
01045,2007,6926.0,12332.338598365037
01045,2008,6637.0,13725.181070985285
01045,2009,6585.0,13483.518698124532
01045,2010,6623.0,13080.810687226442
