Year,student_pop_count,student_pop_mean,student_pop_std,student_pop_min,student_pop_25%,student_pop_50%,student_pop_75%,student_pop_max,real_TCURELSC_per_student_count,real_TCURELSC_per_student_mean,real_TCURELSC_per_student_std,real_TCURELSC_per_student_min,real_TCURELSC_per_student_25%,real_TCURELSC_per_student_50%,real_TCURELSC_per_student_75%,real_TCURELSC_per_student_max
1990,3097.0,12590.741685502098,39277.60948910625,10.0,1967.0,4204.0,9657.0,1358608.0,3097.0,9886.630594317077,2781.4666379680775,4916.531782246707,8155.381136469877,9512.112514960425,11039.453474389822,45977.45538889599
1991,0.0,,,,,,,,3097.0,10075.905152527928,2683.979529777236,5255.381237605876,8392.692222577893,9675.548833547618,11138.565865319859,45269.55541036722
1992,0.0,,,,,,,,3097.0,10265.179710738781,2612.6905767548724,5582.564455240905,8640.756944248642,9847.215732023733,11278.255131667533,44561.65543183844
1993,0.0,,,,,,,,3097.0,10454.454268949636,2569.7810138085442,5782.770249100993,8895.221579002253,10029.411769272094,11457.6444378058,43853.75545330966
1994,0.0,,,,,,,,3097.0,10643.728827160488,2556.6801410158278,5982.976042961082,9118.13247521599,10183.416552341236,11673.109964594958,43145.85547478088
1995,3098.0,13608.724015493866,42726.2160441504,11.0,2043.5,4431.0,10370.75,1473849.0,3098.0,10836.329734492338,2580.079023901729,6162.185894092524,9269.405059713688,10355.08754842609,11915.896593012409,42437.95549625211
1996,3098.0,13821.38605551969,43693.623503069495,8.0,2063.5,4462.0,10432.25,1508589.0,3098.0,10888.177562447507,2519.6897741372472,6427.5903534470945,9339.885539303066,10413.193159769013,11935.129682146402,41230.88444577714
1997,3098.0,14048.57876049064,44665.1260170387,11.0,2073.0,4490.5,10494.5,1536640.0,3098.0,11105.926262919347,2500.1030758164907,6579.064043257467,9597.744882055,10664.014579309038,12117.769168222234,40110.16777355442
1998,3098.0,14182.168173014848,45646.90255220736,10.0,2054.75,4497.5,10485.0,1583283.0,3098.0,11433.401024482273,2425.5640824424354,6733.227039246777,9972.660074591204,10959.325612388662,12395.621604955017,37891.74382517734
1999,3098.0,14374.576823757263,46659.57642817432,6.0,2046.25,4450.5,10508.5,1616838.0,3098.0,11803.236787327927,2472.7260391361065,4897.226381842244,10319.366168726989,11337.64406513546,12783.579231252465,45216.39812331041
2000,3098.0,14463.180438992898,47362.76324726605,8.0,2028.75,4430.5,10502.25,1650744.0,3098.0,12171.452190740036,2574.2076289438346,7232.469458739804,10617.297143606069,11654.681958056783,13136.292844831227,39522.95873167914
2001,3098.0,14577.814396384765,48278.17607177191,7.0,1985.5,4383.5,10451.0,1680736.0,3098.0,12673.52083573524,2707.3616961650287,7392.229554113715,11071.37110138304,12175.998001459631,13654.605438940589,38233.64306038794
2002,3098.0,14731.463847643641,49279.09477110575,9.0,1960.25,4372.0,10418.75,1710114.0,3098.0,13125.896693593908,2841.905118472407,7564.2361360123305,11411.445720712713,12605.266447390546,14164.212131317505,37783.592893288034
