LEAID,CENSUSID,PID6,UNIT_TYPE,FIPST,CONUM,CSA,CBSA,NAME,total_expenditures,student_population,exp_per_student
100002,N,N,N,1,1101,388,33860,Alabama Youth Services,,,
100005,01504840100000,177915,5,1,1095,N,10700,Albertville City,65734000.0,5956.0,11036.601746138347
100006,01504800100000,115639,5,1,1095,N,10700,Marshall County,87804000.0,5898.0,14887.080366225839
100007,01503740100000,209953,5,1,1073,142,13820,Hoover City,208943000.0,13606.0,15356.680876084081
100008,01504530100000,212864,5,1,1089,290,26620,Madison City,173520000.0,12302.0,14105.0235734027
100009,N,N,N,1,1121,142,45180,Al Inst Deaf And Blind,,,
100010,N,N,N,1,1097,380,33660,Al Sch Of Math And Science,,,
100011,01503710100000,214161,5,1,1073,142,13820,Leeds City,28267000.0,2169.0,13032.272936837253
100012,01504810100000,216807,5,1,1095,N,10700,Boaz City,30286000.0,2448.0,12371.73202614379
100013,01503710200000,218130,5,1,1073,142,13820,Trussville City,64310000.0,4941.0,13015.58388990083
100015,N,N,N,1,1047,388,42820,SafetyNet Academy Minter,,,
100016,N,N,N,1,1125,N,46220,Bryce Adolescent School,,,
100018,N,N,N,1,1073,142,13820,Alabama School of Fine Arts,,,
100019,N,N,N,1,1073,142,13820,United Ability,,,
100020,N,N,N,1,1007,142,13820,Boyd School,,,
100021,N,N,N,1,1125,N,46220,BrewerPorch Childrens Center,,,
100022,N,N,N,1,1079,290,19460,Sequel TSI Courtland LLC,,,
100024,N,N,N,1,1089,290,26620,Sequel TSI New Beginnings LLC,,,
100026,N,N,N,1,1087,N,N,Sequel TSI Tuskegee LLC,,,
100028,N,N,N,1,1007,142,13820,Triwill Portacras,,,
100030,01506200200000,177924,5,1,1123,388,10760,Alexander City,43175000.0,2927.0,14750.597881790229
100033,N,N,N,1,1073,142,13820,Glenwood Mental Health Service,,,
100035,N,N,N,1,1081,194,12220,The Little Tree Preschool  Auburn,,,
100036,N,N,N,1,1081,194,12220,Lee County Youth Development Center,,,
100037,N,N,N,1,1097,380,33660,BayPointe Residential Services,,,
100038,N,N,N,1,1031,N,21460,Pathway Inc,,,
100039,N,N,N,1,1121,142,45180,Presbyterian Home for Children,,,
100040,N,N,N,1,1101,388,33860,Brantwood Childrens Home,,,
100041,N,N,N,1,1117,142,13820,Developing Alabama Youth Prog,,,
100042,N,N,N,1,1069,222,20020,Laurel Oaks Behavioral Health Center,,,
100043,N,N,N,1,1055,N,23460,Southeastern Psychiaric Management Inc,,,
100060,01502000100000,115623,5,1,1039,N,N,Andalusia City,24411000.0,1862.0,13110.096670247047
100090,01500800200000,177888,5,1,1015,N,11500,Anniston City,27575000.0,1908.0,14452.30607966457
100100,01504880100000,201058,5,1,1095,N,10700,Arab City,31053000.0,2645.0,11740.264650283554
100120,01504200100000,100199,5,1,1083,290,26620,Athens City,73512000.0,4788.0,15353.383458646616
100175,N,N,N,1,1097,380,33660,POINTE Academy LLC,,,
100176,N,N,N,1,1051,388,33860,JF Ingram State Technical College,,,
100178,N,N,N,1,1073,142,13820,Higdon Hill School,,,
100179,N,N,N,1,1055,N,23460,The Bridge,,,
100180,01502800100000,177903,5,1,1055,N,23460,Attalla City,18161000.0,1523.0,11924.491135915956
100181,N,N,N,1,1053,426,12120,Compass School,,,
100183,N,N,N,1,1073,142,13820,Alabama Clinical Schools,,,
100184,N,N,N,1,1055,N,23460,Excel Institute,,,
100185,01504910100000,223628,5,1,1097,380,33660,Saraland City,50539000.0,3261.0,15498.006746396812
100186,N,N,N,1,1101,388,33860,Father Purcell Center,,,
100187,N,N,N,1,1101,388,33860,Montgomery Childrens Specialty Center,,,
100188,01504910200000,244263,5,1,1097,380,33660,Chickasaw City,27525000.0,2688.0,10239.955357142857
100189,01504910300000,244264,5,1,1097,380,33660,Satsuma City,18706000.0,1520.0,12306.578947368422
100190,01505900300000,248437,5,1,1117,142,13820,Alabaster City,94774000.0,6354.0,14915.643689014794
100191,N,N,N,1,1125,N,46220,Evergreen School,,,
100192,N,N,N,1,1101,388,33860,Montgomery Public Schools MPS Classroom McInnis,,,
100193,N,N,N,1,1097,380,33660,St Marys Home,,,
100194,01505900200000,247496,5,1,1117,142,13820,Pelham City,53759000.0,3520.0,15272.443181818182
100195,01505100200000,245785,5,1,1101,388,33860,Pike Road City,33667000.0,2688.0,12524.925595238095
100197,N,N,N,1,1097,380,33660,Acceleration Day and Evening Academy,7504000.0,453.0,16565.12141280353
100198,N,N,N,1,1101,388,33860,Sequel TSI Montgomery LLC,,,
100199,N,N,N,1,1119,N,N,University Charter School,21021000.0,586.0,35872.01365187713
100200,N,N,N,1,1081,194,12220,East Alabama Academy,,,
100201,N,N,N,1,1073,142,13820,Legacy Prep,4673000.0,352.0,13275.568181818182
100202,01500200200000,250371,5,1,1003,380,19300,Gulf Shores City,38003000.0,2338.0,16254.491017964072
100203,N,N,N,1,1101,388,33860,LEAD Academy,6643000.0,571.0,11633.975481611209
100204,N,N,N,1,1073,142,13820,i3 Academy,10436000.0,517.0,20185.68665377176
100207,N,N,N,1,1101,388,33860,LIFE Academy,3202000.0,243.0,13176.954732510289
100208,N,N,N,1,1105,N,N,Breakthrough Charter School,3440000.0,165.0,20848.484848484848
100210,01504170100000,115636,5,1,1081,194,12220,Auburn City,137574000.0,9395.0,14643.320915380522
100211,N,N,N,1,1073,142,13820,Magic City Acceptance Academy,3812000.0,209.0,18239.234449760766
100212,N,N,N,1,1089,290,26620,Alabama School of Cyber Technology and Engineering,,,
100213,N,N,N,1,1073,142,13820,Alabama Aerospace and Aviation,1889000.0,,
100240,01500100100000,177885,5,1,1001,388,33860,Autauga County,103016000.0,9008.0,11436.056838365897
100270,01500200100000,100191,5,1,1003,380,19300,Baldwin County,446541000.0,31812.0,14036.872878159185
100300,01500300100000,177886,5,1,1005,N,21640,Barbour County,12656000.0,737.0,17172.320217096338
100330,01503700100000,177906,5,1,1073,142,13820,Bessemer City,49364000.0,3409.0,14480.492813141684
100360,01500400100000,209947,5,1,1007,142,13820,Bibb County,52899000.0,3076.0,17197.334200260077
100390,01503700200000,115632,5,1,1073,142,13820,Birmingham City,338413000.0,21328.0,15867.07614403601
100420,01500500100000,209948,5,1,1009,142,13820,Blount County,96514000.0,7659.0,12601.383992688341
100450,01502700200000,115629,5,1,1053,426,12120,Brewton City,19636000.0,1212.0,16201.320132013201
100480,01500600100000,177887,5,1,1011,N,N,Bullock County,22361000.0,1443.0,15496.188496188497
100510,01500700100000,183683,5,1,1013,N,N,Butler County,40133000.0,2927.0,13711.308507003758
100540,01500800300000,213247,5,1,1015,N,11500,Calhoun County,103285000.0,8118.0,12722.961320522296
100600,01500900100000,177889,5,1,1017,122,29300,Chambers County,42681000.0,3347.0,12752.016731401254
100630,01501000100000,189577,5,1,1019,N,N,Cherokee County,53575000.0,3895.0,13754.813863928113
100660,01501100100000,177890,5,1,1021,142,13820,Chilton County,89712000.0,7723.0,11616.211316845785
100690,01501200100000,100194,5,1,1023,N,N,Choctaw County,18788000.0,1067.0,17608.24742268041
100720,01501300100000,177891,5,1,1025,N,N,Clarke County,39593000.0,2254.0,17565.661047027508
100750,01501400100000,115620,5,1,1027,N,N,Clay County,21410000.0,1826.0,11725.082146768893
100780,01501500100000,184333,5,1,1029,N,N,Cleburne County,31684000.0,2517.0,12588.001589193484
100810,01501600100000,177893,5,1,1031,N,21460,Coffee County,34922000.0,2782.0,12552.839683680806
100840,01501700100000,115622,5,1,1033,N,22520,Colbert County,38965000.0,2658.0,14659.518434913469
100870,01501800100000,177896,5,1,1035,N,N,Conecuh County,23076000.0,1513.0,15251.817580964971
100900,01501900100000,100195,5,1,1037,388,10760,Coosa County,15168000.0,788.0,19248.730964467006
100930,01502000200000,177897,5,1,1039,N,N,Covington County,39101000.0,2982.0,13112.34071093226
100960,01502100100000,177898,5,1,1041,N,N,Crenshaw County,27929000.0,2250.0,12412.888888888889
100990,01502200100000,201053,5,1,1043,142,18980,Cullman City,52147000.0,3224.0,16174.627791563276
101020,01502200200000,115625,5,1,1043,142,18980,Cullman County,133728000.0,9704.0,13780.70898598516
101050,01502300100000,177899,5,1,1045,222,37120,Dale County,41794000.0,3241.0,12895.402653502006
101080,01502370100000,115626,5,1,1045,222,37120,Daleville City,16459000.0,1195.0,13773.221757322175
101110,01502400100000,177901,5,1,1047,388,42820,Dallas County,43543000.0,2648.0,16443.731117824773
101140,01502500100000,115627,5,1,1049,497,22840,DeKalb County,111714000.0,8622.0,12956.854558107168
101170,01505200100000,115641,5,1,1103,290,19460,Decatur City,135136000.0,8679.0,15570.457425970733
101200,01504600100000,209956,5,1,1091,N,N,Demopolis City,27053000.0,2106.0,12845.67901234568
101230,01503500100000,100197,5,1,1069,222,20020,Dothan City,121344000.0,8355.0,14523.518850987433
101260,01501600200000,115621,5,1,1031,N,21460,Elba City,8223000.0,646.0,12729.102167182662
101290,01502600100000,212157,5,1,1051,388,33860,Elmore County,161182000.0,11919.0,13523.114355231144
