STATE_NAME,COUNTY_NAME,COUNTY_FIPS_CODE,MCINFANT,MCTODDLER,MCPRESCHOOL,MFCCINFANT,MFCCTODDLER,MFCCPRESCHOOL,Median_Household_Income,Median_Family_Income,Weighted_Center_Price,Weighted_Family_Care_Price
Alabama,Autauga County,1001,145.8,138.72,124.97,135.73,129.69,129.69,68315,83790,137.28333333333333,132.37444444444444
Alabama,Baldwin County,1003,133.3,129.14,122.89,129.48,129.48,129.48,71039,89953,128.90555555555554,129.47999999999996
Alabama,Barbour County,1005,121.85,116.65,110.4,104.87,105.72,105.72,39712,55672,116.87777777777777,105.34222222222222
Alabama,Bibb County,1007,136.43,132.47,128.72,103.58,103.58,103.58,50669,70064,132.98,103.58
Alabama,Blount County,1009,145.92,150.45,137.95,145.57,141.82,129.32,57440,73528,144.27,139.31999999999996
Alabama,Bullock County,1011,145.8,138.72,124.97,135.73,129.69,129.69,36136,43750,137.28333333333333,132.37444444444444
Alabama,Butler County,1013,144.84,137.9,124.15,135.57,129.54,129.54,44429,59217,136.4011111111111,132.22
Alabama,Calhoun County,1015,114.77,114.56,114.56,103.58,103.58,103.58,54339,68959,114.65333333333332,103.58
Alabama,Chambers County,1017,134.97,134.35,125.6,133.58,132.16,128.41,48805,60000,131.70888888888888,131.54111111111112
Alabama,Cherokee County,1019,117.55,107.81,102.81,82.77,83.84,83.84,46621,63429,110.47222222222223,83.36444444444444
Alabama,Chilton County,1021,144.84,137.9,124.15,135.57,129.54,129.54,62471,72090,136.4011111111111,132.22
Alabama,Choctaw County,1023,135.57,131.65,127.9,103.46,103.46,103.46,43299,64349,132.14222222222222,103.46000000000001
Alabama,Clarke County,1025,132.34,128.25,122.0,129.32,129.32,129.32,47549,64688,127.98444444444443,129.31999999999996
Alabama,Clay County,1027,113.98,113.8,113.8,103.46,103.46,103.46,48074,60216,113.88000000000001,103.46000000000001
Alabama,Cleburne County,1029,113.98,113.8,113.8,103.46,103.46,103.46,51553,71833,113.88000000000001,103.46000000000001
Alabama,Coffee County,1031,121.85,116.65,110.4,104.87,105.72,105.72,62199,76211,116.87777777777777,105.34222222222222
Alabama,Colbert County,1033,136.01,134.55,127.05,146.08,140.05,140.05,56149,69400,132.6988888888889,142.73
Alabama,Conecuh County,1035,132.34,128.25,122.0,129.32,129.32,129.32,39888,55380,127.98444444444443,129.31999999999996
Alabama,Coosa County,1037,113.98,113.8,113.8,103.46,103.46,103.46,52279,64482,113.88000000000001,103.46000000000001
Alabama,Covington County,1039,145.8,138.72,124.97,135.73,129.69,129.69,48772,66211,137.28333333333333,132.37444444444444
Alabama,Crenshaw County,1041,121.13,115.96,109.71,104.75,105.61,105.61,48557,69602,116.17444444444443,105.22777777777776
Alabama,Cullman County,1043,134.93,133.59,126.09,145.92,139.88,139.88,58119,72331,131.68555555555554,142.56444444444443
Alabama,Dale County,1045,121.85,116.65,110.4,104.87,105.72,105.72,52813,67776,116.87777777777777,105.34222222222222
Alabama,Dallas County,1047,145.8,138.72,124.97,135.73,129.69,129.69,37180,52453,137.28333333333333,132.37444444444444
Alabama,DeKalb County,1049,117.55,107.81,102.81,82.77,83.84,83.84,47920,59225,110.47222222222223,83.36444444444444
Alabama,Elmore County,1051,145.8,138.72,124.97,135.73,129.69,129.69,73258,84463,137.28333333333333,132.37444444444444
Alabama,Escambia County,1053,133.3,129.14,122.89,129.48,129.48,129.48,41153,57329,128.90555555555554,129.47999999999996
Alabama,Etowah County,1055,118.31,108.52,103.52,82.87,83.94,83.94,52177,67242,111.20444444444445,83.46444444444444
Alabama,Fayette County,1057,135.57,131.65,127.9,103.46,103.46,103.46,45650,62336,132.14222222222222,103.46000000000001
Alabama,Franklin County,1059,134.93,133.59,126.09,145.92,139.88,139.88,47359,61857,131.68555555555554,142.56444444444443
