State,Fiscal Year,Allocations(in thousands),Head Start Enrollment,Allocations/Student
Alabama,1988,23853.0,10835.0,2201.48
Alabama,1989,24367.0,10875.0,2240.64
Alabama,1990,29935.0,11587.0,2583.5
Alabama,1992,40021.0,13012.0,3075.7
Alabama,1993,46937.0,14106.0,3327.45
Alabama,1994,54282.0,14525.0,3737.14
Alabama,1995,57542.0,14552.0,3954.23
Alabama,1996,58265.0,14429.0,4038.05
Alabama,1997,65970.0,14979.0,4404.17
Alabama,1998,67517.0,15118.0,4466.0
Alabama,1999,71983.0,15263.0,4716.18
Alabama,2000,82414.0,15823.0,5208.49
Alabama,2001,95374.0,16498.0,5780.94
Alabama,2002,100154.0,16529.0,6059.29
Alabama,2003,103588.0,16509.0,6274.64
Alabama,2004,105500.307,16374.0,6443.16
Alabama,2005,106345.3,16374.0,6494.77
Alabama,2006,105467.527,16374.0,6441.16
Alabama,2007,107069.71,16374.0,6539.01
Alabama,2008,106910.747,16284.0,6565.39
Alabama,2009,110249.206,16218.0,6797.95
Alabama,2010,112229.307,17277,6495.87931932627
Alaska,1988,2446.0,800.0,3057.5
Alaska,1989,2462.0,800.0,3077.5
Alaska,1990,2840.0,800.0,3550.0
Alaska,1992,4434.0,1067.0,4155.58
Alaska,1993,5316.0,1143.0,4650.92
Alaska,1994,6295.0,1209.0,5206.78
Alaska,1995,6534.0,1209.0,5404.47
Alaska,1996,6748.0,1299.0,5194.77
Alaska,1997,7581.0,1212.0,6254.95
Alaska,1998,8209.0,1261.0,6509.91
Alaska,1999,8786.0,1281.0,6858.7
Alaska,2000,9738.0,1297.0,7508.1
Alaska,2001,11656.0,1586.0,7349.31
Alaska,2002,12104.0,1839.0,6581.84
Alaska,2003,12126.0,1817.0,6673.64
Alaska,2004,12352.697,1634.0,7559.79
Alaska,2005,12439.387,1725.0,7211.24
Alaska,2006,12336.713,1580.0,7808.05
Alaska,2007,12524.123,1583.0,7911.64
Alaska,2008,12505.529,1631.0,7667.4
Alaska,2009,12896.034,1583.0,8146.58
Alaska,2010,13127.649,1969,6667.1655662773
Arizona,1988,10349.0,3683.0,2809.94
Arizona,1989,10675.0,3743.0,2851.99
Arizona,1990,13745.0,4730.0,2905.92
Arizona,1992,20729.0,6179.0,3354.75
Arizona,1993,35503.0,9189.0,3863.64
Arizona,1994,44416.0,9846.0,4511.07
Arizona,1995,47208.0,10029.0,4707.15
Arizona,1996,47617.0,9818.0,4849.97
Arizona,1997,53478.0,10561.0,5063.73
Arizona,1998,59017.0,11055.0,5338.49
Arizona,1999,62444.0,11127.0,5611.93
Arizona,2000,73697.0,11882.0,6202.41
Arizona,2001,89629.0,12865.0,6966.89
Arizona,2002,96913.0,13297.0,7288.34
Arizona,2003,100174.0,13215.0,7580.33
Arizona,2004,102022.603,13215.0,7720.21
Arizona,2005,103225.141,13215.0,7811.21
Arizona,2006,102373.122,13175.0,7770.26
Arizona,2007,103928.297,13175.0,7888.3
Arizona,2008,103773.998,12946.0,8015.91
Arizona,2009,107014.507,12946.0,8266.22
Arizona,2010,108936.512,14225,7658.10277680141
Arkansas,1988,12343.0,6061.0,2036.46
Arkansas,1989,12603.0,6138.0,2053.27
Arkansas,1990,16026.0,7284.0,2200.16
Arkansas,1992,22297.0,8213.0,2714.84
Arkansas,1993,26337.0,8792.0,2995.56
Arkansas,1994,30719.0,9065.0,3388.75
Arkansas,1995,32681.0,9244.0,3535.37
Arkansas,1996,33153.0,9193.0,3606.33
Arkansas,1997,36396.0,9637.0,3776.69
Arkansas,1998,39367.0,9893.0,3979.28
Arkansas,1999,43449.0,10097.0,4303.16
Arkansas,2000,48379.0,10316.0,4689.71
Arkansas,2001,57381.0,10818.0,5304.22
Arkansas,2002,61024.0,10930.0,5583.17
Arkansas,2003,62645.0,10915.0,5739.35
Arkansas,2004,63808.419,10879.0,5865.28
Arkansas,2005,64354.806,10942.0,5881.45
Arkansas,2006,63823.662,10778.0,5921.66
Arkansas,2007,64793.182,10778.0,6011.61
Arkansas,2008,64696.986,10661.0,6068.57
