id,period,MPUBID_XRND,CRACE_XRND,CSEX_XRND,CYRB_XRND,HGC_OF_MOTHER_AS_OF_MAY_1_R,HOW_MANY_BOOKS,HOW_OFTEN_MOM_READS,HOW_OFT_CH_EATS_W,MOM_HELPS_CH_LEARN_NUMBERS,MOM_HELPS_CH_LEARN_ALPHABET,MOM_HELPS_CH_LEARN_COLORS,MOM_HELPS_CH_LEARN_SHAPES,HOW_OFT_CH_TAKEN_TO_MUSEUM,MUSIC_INSTMT_CH,CH_GET_SPEC_LESSON,HOW_OFT_CH_TAKEN_TO_PERFORMANCE,HOW_OFT_CH_SPEND_TIME_W_DAD,HOW_OFT_CH_W_DAD_OUTDOORS,DO_PARS_DISCUSS_TV,PIAT_MATH,PIAT_READ_REC,PIAT_READ_COMP,PPVT,CHILD_EVER_ENROLLED_IN_HEAD,HOW_LONG_CHILD_WAS_IN_HEAD,IF_LOW_GRADES,TYPE_OF_SCHOOL,CH_ATTENDS_PUBLIC_PRIV_RELI,CHILD_AGE_WHEN_1ST_ATTD_HEA,IS_SCHOOL_GIFTED_HANDICAPPED,OWN_A_HOME_COMPUTER,PARS_HELP_W_HOMEWORK,DOES_CHILD_USE_ANY_COMPUTER,MOMHGC_EVER_XRND,HGC_YEARLY_CHILD,HGC_DLI_XRND,ASSOCIATES_XRND,BA_XRND,BS_XRND,MASTERS_XRND,PROFDEGREE_XRND,UNEMPR_TOTAL,UNEMPSP_TOTAL,AFDC_TOTAL,FDSTMPS_TOTAL,SSI_TOTAL,WELFARE_AMT,MOTHER_BIRTH_MONTH,MOTHER_BIRTH_YEAR,SPOUSE_WKSWK_PCY,SPOUSE_HRSWK_PCY,LABOR_INCOME,MOM_RACE,URBAN_RURAL,WKSWK_PCY,HRSWK_PCY,HGC_REV_MOM,TNFI_TRUNC,ASVAB_1,ASVAB_2,ASVAB_3,ASVAB_4,ASVAB_5,ASVAB_6,ASVAB_7,ASVAB_8,ASVAB_9,ASVAB_10,ASVAB_11,ASVAB_12,AFQT_1,AFQT_2,AFQT_3,HGC_EVER_MOM_XRND,HIGHEST_DEGREE_EVER_MOM_XRND,NUM_OLDER_SIBLINGS,NUM_CHILDREN,TRANSFER_INCOME,MOTHER_AGE
201.0,-1,2.0,3.0,2.0,1993.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,10.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,52.0,43.0,43785.857429144016,3.0,1.0,52.0,1820.0,12.0,,,,,,,,,,,,,,,,,12.0,1.0,0.0,2.0,,
201.0,0,2.0,3.0,2.0,1993.0,12.0,20.0,7.0,14.0,,,,,0.028846153846153844,,,,,,,10.0,10.0,10.0,30.0,0.0,,,1.0,,,,,,1.0,12.0,,10.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,52.0,36.0,8558.784235136942,3.0,1.0,9.916666666666666,347.0833333333333,12.0,125964.07099914116,,,,,,,,,,,,,,,,12.0,1.0,0.0,2.0,,
201.0,1,2.0,3.0,2.0,1993.0,12.0,20.0,5.5,14.0,,,,,0.028846153846153848,1.0,0.0,0.028846153846153848,1.0,1.0,1.0,38.0,35.0,26.0,67.33333333333334,0.0,,5.0,1.0,,,,,,1.0,12.0,,10.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,52.0,39.625,0.0,3.0,1.0,0.0,0.0,12.0,118104.04916976813,,,,,,,,,,,,,,,,12.0,1.0,0.0,2.0,,
201.0,2,2.0,3.0,2.0,1993.0,12.0,20.0,,14.0,,,,,0.08173076923076923,1.0,0.5,0.014423076923076924,1.0,4.0,1.0,55.0,52.0,42.0,86.0,0.0,,5.0,1.0,,,,,,1.0,12.0,,10.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,52.0,40.0,7831.772115659891,3.0,1.0,33.2,578.0,12.0,94043.88119095334,,,,,,,,,,,,,,,,12.0,1.0,0.0,2.0,,
201.0,3,2.0,3.0,2.0,1993.0,12.0,20.0,,14.0,,,,,0.1346153846153846,1.0,1.0,0.0,1.0,7.0,1.0,55.0,52.0,42.0,86.0,0.0,,5.0,1.0,,,,,,1.0,12.0,,10.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,52.0,40.0,30717.602061265392,3.0,1.0,52.0,1164.8,12.0,69571.36764958489,,,,,,,,,,,,,,,,12.0,1.0,0.0,2.0,,
202.0,-1,2.0,3.0,2.0,1994.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,52.0,35.0,51352.705410821654,3.0,1.0,52.0,1820.0,12.0,133517.0340681363,,,,,,,,,,,,,,,,12.0,1.0,1.0,2.0,,
202.0,0,2.0,3.0,2.0,1994.0,12.0,20.0,3.0,7.0,1.0,1.0,1.0,1.0,0.03325320512820513,,,,,,,13.0,18.0,18.0,56.0,0.0,,,1.0,,,,,,1.0,12.0,,,,,,,,,,,,,,,,52.0,36.583333333333336,0.0,3.0,1.0,1.25,43.75,12.0,117696.8222158603,,,,,,,,,,,,,,,,12.0,1.0,1.0,2.0,,
202.0,1,2.0,3.0,2.0,1994.0,12.0,20.0,2.641826923076923,7.0,,,,,0.0751201923076923,1.0,0.0,0.0,1.0,1.0,1.0,37.0,42.5,36.0,56.0,0.0,,5.0,1.0,,,,,,1.0,12.0,,,,,,,,,,,,,,,,52.0,40.0,0.0,3.0,1.0,2.25,36.0,12.0,124120.89894073864,,,,,,,,,,,,,,,,12.0,1.0,1.0,2.0,,
202.0,2,2.0,3.0,2.0,1994.0,12.0,20.0,,9.1,,,,,0.1266826923076923,0.7,0.0,0.04038461538461539,1.0,1.0,1.0,47.0,46.0,42.0,56.0,0.0,,5.0,1.0,,,,,,1.0,12.0,,,,,,,,,,,,,,,,52.0,40.0,10888.617234468938,3.0,1.0,41.8,726.0,12.0,70684.90581162326,,,,,,,,,,,,,,,,12.0,1.0,1.0,2.0,,
202.0,3,2.0,3.0,2.0,1994.0,12.0,20.0,,14.0,,,,,0.1346153846153846,0.0,0.0,0.1346153846153846,1.0,1.0,1.0,47.0,46.0,42.0,56.0,0.0,,5.0,1.0,,,,,,1.0,12.0,,,,,,,,,,,,,,,,52.0,40.0,40102.085313484116,3.0,1.0,52.0,1352.0,12.0,93448.47500715719,,,,,,,,,,,,,,,,12.0,1.0,1.0,2.0,,
