,count,mean,std,min,25%,50%,75%,max,Category,Description
id,57755.0,600544.2828326551,345110.7238403628,201.0,309501.0,604004.0,875703.0,1267501.0,Other,Unique identifier for each individual
period,57755.0,1.0,1.4142258057453352,-1.0,0.0,1.0,2.0,3.0,,
MPUBID_XRND,57755.0,6005.423166825383,3451.1074627970615,2.0,3095.0,6040.0,8757.0,12675.0,Other,Mother's public ID (cross-round)
CRACE_XRND,57755.0,2.338239113496667,0.7803325214454374,1.0,2.0,3.0,3.0,3.0,Other,"Child's race (cross-round, categorical)"
CSEX_XRND,57745.0,1.4893064334574422,0.4998899630002677,1.0,1.0,1.0,2.0,2.0,Other,"Child's sex (cross-round, categorical)"
CYRB_XRND,57755.0,1986.1033676737945,6.426807599670453,1970.0,1981.0,1985.0,1990.0,2014.0,Other,Child's year of birth
HGC_OF_MOTHER_AS_OF_MAY_1_R,48636.0,12.473157873521263,2.4784876855932327,0.0,12.0,12.0,14.0,20.0,Parent_Characteristics,"Mother's highest grade completed as of May 1, answered yearly (number of years in school)"
HOW_MANY_BOOKS,10231.0,14.607464894275568,6.077912089825709,0.0,10.0,17.5,20.0,20.0,Monetary_Investment,Number of books in the home
HOW_OFTEN_MOM_READS,8610.0,2.37284788018232,1.980052088385082,0.0,1.0,2.0,3.0,7.0,Time_Investment,"How often mother reads to child (frequency, times per week)"
HOW_OFT_CH_EATS_W,9823.0,5.838946661089234,4.235150002224176,0.0,2.5,5.6,7.7,14.0,Time_Investment,"How often child eats with family (frequency, times per week)"
MOM_HELPS_CH_LEARN_NUMBERS,3736.0,0.9884903640256959,0.10005885087831079,0.0,1.0,1.0,1.0,1.0,Time_Investment,Mother helps child learn numbers (yes/no)
MOM_HELPS_CH_LEARN_ALPHABET,3663.0,0.9846209846209847,0.11385094519072571,0.0,1.0,1.0,1.0,1.0,Time_Investment,Mother helps child learn alphabet (yes/no)
MOM_HELPS_CH_LEARN_COLORS,3731.0,0.986598767086572,0.10666910257341447,0.0,1.0,1.0,1.0,1.0,Time_Investment,Mother helps child learn colors (yes/no)
MOM_HELPS_CH_LEARN_SHAPES,3381.0,0.9593808537907916,0.18612229859874682,0.0,1.0,1.0,1.0,1.0,Time_Investment,Mother helps child learn shapes (yes/no)
