id,HOW_LONG_CHILD_WAS_IN_HEAD,TRANSFER_INCOME,CHILD_EVER_ENROLLED_IN_HEAD,CHILD_AGE_WHEN_1ST_ATTD_HEA,HGC_DLI_XRND,HGC_YEARLY_CHILD,BS_XRND,BA_XRND,MASTERS_XRND,ASSOCIATES_XRND,PROFDEGREE_XRND,ASVAB_3,ASVAB_12,HGC_OF_MOTHER_AS_OF_MAY_1_R,HIGHEST_DEGREE_EVER_MOM_XRND,AFQT_1,ASVAB_1,AFQT_3,HGC_REV_MOM,ASVAB_6,HGC_EVER_MOM_XRND,ASVAB_10,MOM_SAMPLE_ID,MOMHGC_EVER_XRND,ASVAB_2,ASVAB_7,MOM_SEX,ASVAB_4,URBAN_RURAL,ASVAB_11,MOM_RACE,ASVAB_5,AFQT_2,ASVAB_9,ASVAB_8,MPUBID_XRND,CYRB_XRND,VERSION_R29_XRND,CRACE_XRND,CSEX_XRND,HOW_MANY_BOOKS_P0,HOW_MANY_BOOKS_P1,HOW_MANY_BOOKS_P2,HOW_MANY_BOOKS_P3,HOW_OFTEN_MOM_READS_P0,HOW_OFTEN_MOM_READS_P1,HOW_OFT_CH_EATS_W_P0,HOW_OFT_CH_EATS_W_P1,HOW_OFT_CH_EATS_W_P2,HOW_OFT_CH_EATS_W_P3,MOM_HELPS_CH_LEARN_NUMBERS_P0,MOM_HELPS_CH_LEARN_ALPHABET_P0,MOM_HELPS_CH_LEARN_COLORS_P0,MOM_HELPS_CH_LEARN_SHAPES_P0,HOW_OFT_CH_TAKEN_TO_MUSEUM_P0,HOW_OFT_CH_TAKEN_TO_MUSEUM_P1,HOW_OFT_CH_TAKEN_TO_MUSEUM_P2,HOW_OFT_CH_TAKEN_TO_MUSEUM_P3,MUSIC_INSTMT_CH_P1,MUSIC_INSTMT_CH_P2,MUSIC_INSTMT_CH_P3,CH_GET_SPEC_LESSON_P1,CH_GET_SPEC_LESSON_P2,CH_GET_SPEC_LESSON_P3,HOW_OFT_CH_TAKEN_TO_PERFORMANCE_P1,HOW_OFT_CH_TAKEN_TO_PERFORMANCE_P2,HOW_OFT_CH_TAKEN_TO_PERFORMANCE_P3,HOW_OFT_CH_SPEND_TIME_W_DAD_P1,HOW_OFT_CH_SPEND_TIME_W_DAD_P2,HOW_OFT_CH_SPEND_TIME_W_DAD_P3,HOW_OFT_CH_W_DAD_OUTDOORS_P1,HOW_OFT_CH_W_DAD_OUTDOORS_P2,HOW_OFT_CH_W_DAD_OUTDOORS_P3,DO_PARS_DISCUSS_TV_P1,DO_PARS_DISCUSS_TV_P2,DO_PARS_DISCUSS_TV_P3,PIAT_MATH_P0,PIAT_MATH_P1,PIAT_MATH_P2,PIAT_MATH_P3,PIAT_READ_REC_P0,PIAT_READ_REC_P1,PIAT_READ_REC_P2,PIAT_READ_REC_P3,PIAT_READ_COMP_P0,PIAT_READ_COMP_P1,PIAT_READ_COMP_P2,PIAT_READ_COMP_P3,PPVT_P0,PPVT_P1,PPVT_P2,PPVT_P3,IF_LOW_GRADES_P1,IF_LOW_GRADES_P2,IF_LOW_GRADES_P3,TYPE_OF_SCHOOL_P0,TYPE_OF_SCHOOL_P1,TYPE_OF_SCHOOL_P2,TYPE_OF_SCHOOL_P3,CH_ATTENDS_PUBLIC_PRIV_RELI_P0,CH_ATTENDS_PUBLIC_PRIV_RELI_P1,CH_ATTENDS_PUBLIC_PRIV_RELI_P2,CH_ATTENDS_PUBLIC_PRIV_RELI_P3,IS_SCHOOL_GIFTED_HANDICAPPED_P0,IS_SCHOOL_GIFTED_HANDICAPPED_P1,IS_SCHOOL_GIFTED_HANDICAPPED_P2,IS_SCHOOL_GIFTED_HANDICAPPED_P3,OWN_A_HOME_COMPUTER_P0,OWN_A_HOME_COMPUTER_P1,OWN_A_HOME_COMPUTER_P2,OWN_A_HOME_COMPUTER_P3,PARS_HELP_W_HOMEWORK_P0,PARS_HELP_W_HOMEWORK_P1,PARS_HELP_W_HOMEWORK_P2,PARS_HELP_W_HOMEWORK_P3,DOES_CHILD_USE_ANY_COMPUTER_P0,DOES_CHILD_USE_ANY_COMPUTER_P1,DOES_CHILD_USE_ANY_COMPUTER_P2,DOES_CHILD_USE_ANY_COMPUTER_P3,UNEMPR_TOTAL_P-1,UNEMPR_TOTAL_P0,UNEMPR_TOTAL_P1,UNEMPR_TOTAL_P2,UNEMPR_TOTAL_P3,UNEMPSP_TOTAL_P-1,UNEMPSP_TOTAL_P0,UNEMPSP_TOTAL_P1,UNEMPSP_TOTAL_P2,UNEMPSP_TOTAL_P3,AFDC_TOTAL_P-1,AFDC_TOTAL_P0,AFDC_TOTAL_P1,AFDC_TOTAL_P2,AFDC_TOTAL_P3,FDSTMPS_TOTAL_P-1,FDSTMPS_TOTAL_P0,FDSTMPS_TOTAL_P1,FDSTMPS_TOTAL_P2,FDSTMPS_TOTAL_P3,SSI_TOTAL_P-1,SSI_TOTAL_P0,SSI_TOTAL_P1,SSI_TOTAL_P2,SSI_TOTAL_P3,WELFARE_AMT_P-1,WELFARE_AMT_P0,WELFARE_AMT_P1,WELFARE_AMT_P2,WELFARE_AMT_P3,SSDI_TOTAL_P-1,SSDI_TOTAL_P0,SSDI_TOTAL_P1,SSDI_TOTAL_P2,SSDI_TOTAL_P3,MOTHER_BIRTH_MONTH_P-1,MOTHER_BIRTH_MONTH_P0,MOTHER_BIRTH_MONTH_P1,MOTHER_BIRTH_MONTH_P2,MOTHER_BIRTH_MONTH_P3,MOTHER_BIRTH_YEAR_P-1,MOTHER_BIRTH_YEAR_P0,MOTHER_BIRTH_YEAR_P1,MOTHER_BIRTH_YEAR_P2,MOTHER_BIRTH_YEAR_P3,SPOUSE_WKSWK_PCY_P-1,SPOUSE_WKSWK_PCY_P0,SPOUSE_WKSWK_PCY_P1,SPOUSE_WKSWK_PCY_P2,SPOUSE_WKSWK_PCY_P3,SPOUSE_HRSWK_PCY_P-1,SPOUSE_HRSWK_PCY_P0,SPOUSE_HRSWK_PCY_P1,SPOUSE_HRSWK_PCY_P2,SPOUSE_HRSWK_PCY_P3,LABOR_INCOME_P-1,LABOR_INCOME_P0,LABOR_INCOME_P1,LABOR_INCOME_P2,LABOR_INCOME_P3,WKSWK_PCY_P-1,WKSWK_PCY_P0,WKSWK_PCY_P1,WKSWK_PCY_P2,WKSWK_PCY_P3,HRSWK_PCY_P-1,HRSWK_PCY_P0,HRSWK_PCY_P1,HRSWK_PCY_P2,HRSWK_PCY_P3,TNFI_TRUNC_P-1,TNFI_TRUNC_P0,TNFI_TRUNC_P1,TNFI_TRUNC_P2,TNFI_TRUNC_P3,NUM_OLDER_SIBLINGS_P-1,NUM_OLDER_SIBLINGS_P0,NUM_OLDER_SIBLINGS_P1,NUM_OLDER_SIBLINGS_P2,NUM_OLDER_SIBLINGS_P3,NUM_CHILDREN_P-1,NUM_CHILDREN_P0,NUM_CHILDREN_P1,NUM_CHILDREN_P2,NUM_CHILDREN_P3,MOTHER_AGE_P-1,MOTHER_AGE_P0,MOTHER_AGE_P1,MOTHER_AGE_P2,MOTHER_AGE_P3
201.0,,,0.0,,10.0,,0.0,0.0,1.0,0.0,0.0,,,12.0,1.0,,,,12.0,,12.0,,,12.0,,,,,1.0,,3.0,,,,,2.0,1993.0,532.0,3.0,2.0,20.0,20.0,20.0,20.0,7.0,5.5,14.0,14.0,14.0,14.0,,,,,0.028846153846153844,0.028846153846153848,0.08173076923076923,0.1346153846153846,1.0,1.0,1.0,0.0,0.5,1.0,0.028846153846153848,0.014423076923076924,0.0,1.0,1.0,1.0,1.0,4.0,7.0,1.0,1.0,1.0,10.0,38.0,55.0,55.0,10.0,35.0,52.0,52.0,10.0,26.0,42.0,42.0,30.0,67.33333333333334,86.0,86.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,52.0,52.0,52.0,52.0,43.0,36.0,39.625,40.0,40.0,11053.797468354429,2028.4552845528451,0.0,931.4130552835984,3002.722701225563,52.0,9.916666666666666,0.0,33.2,52.0,1820.0,347.0833333333333,0.0,578.0,1164.8,,26804.873537637963,19361.35934145863,12855.765975998835,6786.013883056541,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,,,,,
202.0,,,0.0,,,,,,,,,,,12.0,1.0,,,,12.0,,12.0,,,12.0,,,,,1.0,,3.0,,,,,2.0,1994.0,532.0,3.0,2.0,20.0,20.0,20.0,20.0,3.0,2.641826923076923,7.0,7.0,9.1,14.0,1.0,1.0,1.0,1.0,0.03325320512820513,0.0751201923076923,0.1266826923076923,0.1346153846153846,1.0,0.7,0.0,0.0,0.0,0.0,0.0,0.04038461538461539,0.1346153846153846,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,37.0,47.0,47.0,18.0,42.5,46.0,46.0,18.0,36.0,42.0,42.0,56.0,56.0,56.0,56.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,52.0,52.0,52.0,52.0,35.0,36.583333333333336,40.0,40.0,40.0,12170.73170731707,0.0,0.0,1258.5477190082697,3836.235805116009,52.0,1.25,2.25,41.8,52.0,1820.0,43.75,36.0,726.0,1352.0,31643.902439024387,21671.687632491663,19342.9290008065,9288.318254996624,8954.754512128846,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,,,,,
301.0,,100.07972594207409,0.0,,6.0,12.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,10.0,1.0,51.0,51.0,49444.0,10.0,12.0,12.0,13.0,,12.0,0.0,46.0,,13.0,1.0,13.0,3.0,29.0,46.0,13.0,72.0,3.0,1981.0,532.0,3.0,2.0,20.0,20.0,20.0,20.0,1.0,1.75,7.0,7.0,10.5,14.0,,,,,0.0,0.0,0.5,1.0,0.0,0.5,1.0,1.0,1.0,1.0,0.0,0.06730769230769232,0.1346153846153846,1.0,1.0,1.0,1.0,2.5,4.0,1.0,1.0,1.0,27.0,38.0,57.0,57.0,32.0,40.5,57.0,57.0,33.0,40.0,57.0,57.0,50.0,92.66666666666666,114.0,114.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,4.0,1.0,1.0,1.0,1.0,0.3452243958573073,0.34522439585730724,0.34522439585730724,0.34522439585730724,,,,,,,,,,,6453.7789979409745,4042.056029449324,1630.3330609576726,1630.3330609576726,,,,,,,639.0796725006655,321.5676642296075,108.78231080660228,108.78231080660228,,224.7554907343857,224.75549073438572,224.7554907343857,224.7554907343857,,605.5315475734209,225.11680506377894,108.78231080660228,108.78231080660228,,,,,,,,,,,,,,,,,50.666666666666664,41.0,50.8,49.9,,44.666666666666664,46.25,54.6,47.0,6118.868868868869,1861.3489598778594,1199.3185570821788,3285.9375933402175,5778.367715793682,40.0,10.166666666666666,21.25,15.3,19.6,1440.0,330.0,1014.5,706.0,1171.2,6118.868868868869,11755.316546900247,14236.600554176513,12501.612406661805,26844.946100476907,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,,1986.0,1986.0,1986.0,1986.0
302.0,,284.664054628904,0.0,,6.0,9.0,0.0,0.0,0.0,0.0,0.0,,,10.0,1.0,,,,10.0,,12.0,,,12.0,,,,,1.0,,3.0,,,,,3.0,1983.0,532.0,3.0,2.0,20.0,20.0,20.0,20.0,3.0,2.3065304948216343,14.0,14.0,14.0,14.0,,,,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.028846153846153848,0.028846153846153848,0.028846153846153848,1.0,1.0,1.0,7.0,7.0,7.0,,,,38.0,38.0,40.0,40.0,42.0,42.0,58.0,58.0,39.0,39.0,49.0,49.0,54.0,91.0,110.0,110.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,6453.7789979409745,1630.3330609576726,1630.3330609576726,1630.3330609576726,,,,,,139.24847078675384,747.138371075618,155.6301674190587,184.67318441963923,260.56405803267614,,224.7554907343857,224.75549073438572,224.7554907343857,224.7554907343857,139.24847078675384,663.2680587575061,134.66258933953077,184.67318441963923,260.56405803267614,,,,,,,,,,,,,,,,52.0,50.666666666666664,39.5,51.7,43.9,40.0,45.5,48.5,55.8,43.0,5157.350769879772,397.86618727304295,1835.6408695723057,8158.038882754634,90.44759556103574,19.0,9.0,18.5,12.3,23.8,760.0,289.6666666666667,922.5,543.8,1515.4,12524.994726850875,12909.263284738985,10880.354706670336,22124.297176755405,24000.537168530405,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,,,,,
303.0,,284.664054628904,0.0,,6.0,8.0,0.0,0.0,0.0,0.0,0.0,,,10.0,1.0,,,,10.0,,12.0,,,12.0,,,,,1.0,,3.0,,,,,3.0,1986.0,532.0,3.0,2.0,20.0,20.0,20.0,20.0,1.0,4.75,4.0,4.0,2.492059838895282,4.0,1.0,1.0,1.0,1.0,0.1346153846153846,0.1346153846153846,0.1346153846153846,0.1346153846153846,1.0,1.0,1.0,1.0,1.0,1.0,0.028846153846153848,0.10288461538461538,0.1346153846153846,1.0,1.0,1.0,4.0,2.5,1.0,1.0,1.0,1.0,15.0,23.5,40.0,40.0,16.0,23.0,40.0,40.0,16.0,20.0,38.0,38.0,61.0,92.5,108.0,108.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,4.0,4.0,3.0,1.1,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,4042.056029449324,1630.3330609576726,1630.3330609576726,1630.3330609576726,,,,,,,111.31200659370352,161.90592233572815,230.20770858746135,287.8847725333694,,224.7554907343857,224.75549073438572,224.7554907343857,224.7554907343857,,178.96302821824383,161.90592233572815,230.20770858746135,287.8847725333694,,,,,,,,,,,,,,,,52.0,43.666666666666664,52.0,49.9,33.7,50.0,48.166666666666664,57.25,47.0,40.0,853.3922195076113,1144.4311707562076,3590.093792623139,5778.367715793682,0.0,23.0,14.166666666666666,19.125,19.6,5.2,460.0,676.3333333333334,882.5,1171.2,364.0,12669.592181920692,14781.035697704247,12497.179904061855,26844.946100476907,26220.03284072249,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,,,,,
401.0,,4155.750939696029,0.0,,2.0,9.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,9.0,1.0,62.0,51.0,55761.0,9.0,12.0,14.0,10.0,5.0,14.0,0.0,46.0,2.0,18.0,1.0,10.0,3.0,29.0,48.0,11.0,62.0,4.0,1980.0,532.0,3.0,1.0,20.0,20.0,20.0,20.0,3.0,3.0,0.0,0.0,0.0,0.0,,,,,0.1346153846153846,0.1346153846153846,0.1346153846153846,0.1346153846153846,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,6.0,6.0,,,,1.0,1.0,1.0,35.0,38.5,42.0,42.0,33.0,44.5,56.0,56.0,49.0,49.0,49.0,49.0,97.0,104.5,112.0,112.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.5,1.5,1.5,1.5,,,,,,4164.884458244811,4164.884458244811,4164.884458244811,4164.884458244811,,,,,,,1631.4600605751311,1076.587107686525,1076.587107686525,1076.587107686525,,478.48553587123996,295.40499906032704,295.40499906032704,295.40499906032704,,,,,,,2109.945596446371,1371.9921067468522,1371.9921067468522,1371.9921067468522,,,,,,8.0,8.0,8.0,8.0,8.0,62.0,62.0,62.0,62.0,62.0,,49.94871794871795,50.03846153846154,51.07692307692308,51.95384615384616,,67.07692307692308,72.6923076923077,55.38461538461538,40.76923076923077,,141.6473280808161,10146.614447897759,11000.23216324866,10680.872637448176,0.0,3.0,41.25,36.4,46.0,0.0,75.0,1671.0,1317.4666666666667,1798.9333333333332,22390.0,6702.256664399779,10419.365194791686,12446.210471681765,21204.398039156713,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,1917.0,1919.0,1919.0,1919.0,1919.0
403.0,,2135.5868601944776,,,,,,,,,,,,14.0,1.0,,,,14.0,,14.0,,,14.0,,,,,1.0,,3.0,,,,,4.0,1997.0,532.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2140.327341571158,2140.327341571158,2140.327341571158,2140.327341571158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,52.0,52.0,52.0,52.0,40.0,41.38888888888889,45.416666666666664,49.16666666666667,53.33333333333333,15716.030338089728,7061.994153493669,11304.280281239367,15253.994951899154,19642.566808187807,52.0,38.518518518518526,34.22222222222222,30.22222222222223,25.77777777777778,2392.0,1268.148148148148,1233.7777777777776,1201.7777777777778,1166.2222222222222,,24638.21033379236,29889.99440783215,34779.58647676575,40212.46655335863,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,,,,,
801.0,,55.49853658536585,0.0,,7.0,12.0,0.0,0.0,0.0,1.0,0.0,18.0,12.0,12.0,2.0,43.0,51.0,44022.0,12.0,12.0,14.0,4.0,6.0,14.0,1.0,24.0,2.0,13.0,1.0,12.0,3.0,35.0,42.0,11.0,48.0,8.0,1976.0,532.0,3.0,2.0,20.0,20.0,18.5,3.3,1.0,1.0,7.0,7.0,2.1,0.0,,,,,0.1346153846153846,0.1346153846153846,0.1346153846153846,0.1346153846153846,1.0,1.0,0.1,1.0,0.7,0.0,0.1346153846153846,0.1346153846153846,0.03942307692307693,1.0,2.4,5.7,1.0,1.0,1.0,1.0,1.0,1.0,48.0,48.0,59.0,55.0,55.0,55.0,78.0,67.0,55.0,55.0,56.0,61.0,110.0,110.0,136.0,149.0,2.0,2.3,3.9,1.0,1.0,1.1,1.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,1853.0215786952015,3249.188888334972,4882.704640613503,5134.014756348662,,1070.5042735042732,1070.5042735042732,1070.5042735042732,1070.5042735042732,,2919.2784480027676,2319.687832237166,1879.9880473423914,1853.339575530587,,984.2438993735433,691.2650817515505,464.89028348630336,112.091983191742,,,,,,,2510.504302904438,691.2650817515505,1762.227986357714,297.42594074480076,,,,,,,7.0,7.0,7.0,7.0,,58.0,58.0,58.0,58.0,,22.666666666666668,40.75,46.8,52.0,,40.833333333333336,38.5,55.0,40.0,,1449.558991013019,5816.9122360432475,5248.154291407768,9310.375921507035,,15.333333333333334,52.0,36.0,52.0,,381.1666666666667,2076.5,1470.4,2048.8,,9668.427872781967,17410.644262756858,16472.918278797093,11077.455916604082,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,,1921.5,1923.0,1923.0,1923.0
802.0,,55.49853658536585,0.0,,6.0,12.0,0.0,0.0,0.0,0.0,0.0,18.0,12.0,12.0,2.0,43.0,51.0,44022.0,12.0,12.0,14.0,4.0,6.0,14.0,1.0,24.0,2.0,13.0,1.0,12.0,3.0,35.0,42.0,11.0,48.0,8.0,1979.0,532.0,3.0,1.0,10.0,11.875,17.0,15.0,1.0,0.6754807692307693,7.0,5.6875,0.35,0.0,,,,,0.1346153846153846,0.1346153846153846,0.08173076923076923,0.028846153846153848,0.0,0.0,0.0,0.0,0.5,1.0,0.1346153846153846,0.08173076923076923,0.028846153846153848,1.375,1.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,41.0,37.0,56.0,56.0,22.0,49.0,63.0,63.0,21.0,48.0,49.0,49.0,111.0,111.0,110.0,110.0,3.0,3.5,4.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0.11507479861910243,0.11507479861910243,0.11507479861910244,0.11507479861910244,,,,,,2481.2968680330982,4505.739467010765,5134.014756348662,5134.014756348662,,1070.5042735042732,1070.5042735042732,1070.5042735042732,1070.5042735042732,3052.52080706179,1853.3395755305867,1853.3395755305867,1853.339575530587,1853.339575530587,1211.3177805800754,728.925045417528,572.8784590877664,225.96839925702625,63.28780487804877,,,,,,4263.838587641865,728.925045417528,1653.9932114806086,843.748257767222,63.28780487804877,,,,,,,7.0,7.0,7.0,7.0,,58.0,58.0,58.0,58.0,,41.5,39.0,52.0,52.0,,42.5,49.125,44.5,40.0,,4352.22641041866,3349.4558430209418,9032.342043093498,10076.035610365734,,39.333333333333336,32.25,51.8,52.0,,1400.1666666666667,1281.0,2060.8,2293.8,,14994.852762065975,17123.225984268807,12728.302570098427,11886.888971663637,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,,1922.5,1923.0,1923.0,1923.0
803.0,,55.49853658536585,0.0,,7.0,11.0,0.0,0.0,0.0,1.0,0.0,18.0,12.0,12.0,2.0,43.0,51.0,44022.0,12.0,12.0,14.0,4.0,,14.0,1.0,24.0,,13.0,1.0,12.0,3.0,35.0,42.0,11.0,48.0,8.0,1982.0,532.0,3.0,2.0,20.0,20.0,20.0,20.0,1.1507479861910241,1.1319044879171463,0.0,0.0,2.1,7.0,1.0,1.0,1.0,1.0,0.028846153846153844,0.028846153846153848,0.06057692307692307,0.1346153846153846,1.0,0.7,0.0,1.0,1.0,1.0,0.028846153846153848,0.028846153846153848,0.028846153846153848,2.0,1.7,1.0,1.0,1.0,1.0,0.0,0.3,1.0,16.0,41.5,52.0,52.0,23.0,46.0,76.0,76.0,21.0,43.5,51.0,51.0,17.5,87.5,114.0,114.0,3.0,3.6,5.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11507479861910243,0.11507479861910243,0.11507479861910244,0.11507479861910244,,,,,,5134.014756348662,5134.014756348662,5134.014756348662,5134.014756348662,,1070.5042735042732,1070.5042735042732,1070.5042735042732,1070.5042735042732,,1853.3395755305867,1853.3395755305867,1853.339575530587,1853.339575530587,,635.0974787552958,347.9788450412594,79.55586431594652,63.28780487804877,,,,,,,1098.4323726379425,1429.0935974341014,141.3338501669661,63.28780487804877,,,,,,7.0,,,,,58.0,,,,,52.0,40.166666666666664,52.0,52.0,52.0,45.0,44.0,51.25,40.0,40.0,4837.91951164368,4812.39841953445,7473.551161759577,9717.114828926477,10480.581388565286,51.0,43.166666666666664,45.25,52.0,52.0,1002.0,1756.5,1799.75,2178.6,2204.8,18721.46913859371,17457.22364083645,15240.669327723665,10961.154544592759,12348.309551356215,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,1923.0,,,,
