,count,mean,std,min,25%,50%,75%,max,Category,Description
id,11551.0,600544.2828326551,345122.67551995086,201.0,309501.5,604004.0,875702.5,1267501.0,Other,Unique identifier for each individual
CYRB_XRND,11551.0,1986.1033676737945,6.427030169239867,1970.0,1981.0,1985.0,1990.0,2014.0,Other,Child's year of birth
CSEX_XRND,11549.0,1.4893064334574422,0.4999072779052105,1.0,1.0,1.0,2.0,2.0,Other,"Child's sex (cross-round, categorical)"
MPUBID_XRND,11551.0,6005.423166825383,3451.2269796007126,2.0,3095.0,6040.0,8757.0,12675.0,Other,Mother's public ID (cross-round)
CRACE_XRND,11551.0,2.338239113496667,0.7803595454804042,1.0,2.0,3.0,3.0,3.0,Other,"Child's race (cross-round, categorical)"
MOM_SEX,2358.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,,
VERSION_R29_XRND,11551.0,532.0,0.0,532.0,532.0,532.0,532.0,532.0,,
MOM_SAMPLE_ID,2358.0,10.686598812553012,4.13083628972053,5.0,6.0,12.0,13.0,20.0,,
PPVT_P1,9479.0,82.78385466118085,25.892055911774477,0.0,70.0,87.5,100.5,165.0,Child_Human_Capital, Period 1: Child's Peabody Picture Vocabulary Test score (total raw score)
PPVT_P0,9479.0,55.913680240531704,25.75902790294965,0.0,38.0,52.5,70.0,165.0,Child_Human_Capital, Period 0: Child's Peabody Picture Vocabulary Test score (total raw score)
PIAT_READ_COMP_P3,9199.0,48.33427546472443,14.952454556172379,0.0,41.0,49.0,58.0,84.0,Child_Human_Capital, Period 3: Child's PIAT reading comprehension score (total raw score)
PIAT_READ_COMP_P2,9199.0,48.17047142805377,14.849129653420377,0.0,41.0,49.0,58.0,84.0,Child_Human_Capital, Period 2: Child's PIAT reading comprehension score (total raw score)
PIAT_READ_COMP_P1,9199.0,36.29298021524079,11.208034560614866,0.0,28.0,37.0,44.0,84.0,Child_Human_Capital, Period 1: Child's PIAT reading comprehension score (total raw score)
PIAT_READ_COMP_P0,9199.0,21.870801174040658,11.970213344918662,0.0,16.0,18.0,25.0,84.0,Child_Human_Capital, Period 0: Child's PIAT reading comprehension score (total raw score)
PPVT_P2,9479.0,97.41526004852832,32.12872379034833,0.0,84.0,106.0,118.0,171.0,Child_Human_Capital, Period 2: Child's Peabody Picture Vocabulary Test score (total raw score)
PIAT_READ_REC_P3,9220.0,55.23817787418655,17.684262936024282,0.0,44.0,58.0,69.0,84.0,Child_Human_Capital, Period 3: Child's PIAT reading recognition score (total raw score)
PIAT_READ_REC_P1,9220.0,39.569097975415765,12.77619327499716,0.0,31.0,40.0,48.0,84.0,Child_Human_Capital, Period 1: Child's PIAT reading recognition score (total raw score)
PIAT_READ_REC_P0,9220.0,22.470824295010846,13.006490622859227,0.0,16.0,18.0,26.0,84.0,Child_Human_Capital, Period 0: Child's PIAT reading recognition score (total raw score)
PIAT_MATH_P3,9233.0,50.332502978446875,15.170896839111538,0.0,43.0,51.0,62.0,84.0,Child_Human_Capital, Period 3: Child's PIAT math score (total raw score)
PIAT_MATH_P2,9233.0,50.17029495649662,15.097574845404052,0.0,43.0,50.0,61.0,84.0,Child_Human_Capital, Period 2: Child's PIAT math score (total raw score)
PIAT_MATH_P1,9233.0,37.07577890898589,11.509335056571329,0.0,30.0,38.0,45.0,84.0,Child_Human_Capital, Period 1: Child's PIAT math score (total raw score)
PIAT_MATH_P0,9233.0,20.073486407451533,11.861734995012887,0.0,12.0,16.0,25.0,80.0,Child_Human_Capital, Period 0: Child's PIAT math score (total raw score)
PIAT_READ_REC_P2,9220.0,54.991494938539404,17.598811574042664,0.0,44.0,58.0,68.0,84.0,Child_Human_Capital, Period 2: Child's PIAT reading recognition score (total raw score)
PPVT_P3,9479.0,97.77972359953581,32.39372231951502,0.0,84.0,106.0,118.0,171.0,Child_Human_Capital, Period 3: Child's Peabody Picture Vocabulary Test score (total raw score)
ASSOCIATES_XRND,8673.0,0.14850686037126715,0.3556222075490415,0.0,0.0,0.0,0.0,1.0,Educational_Attainment,Child ever received associate's degree (yes/no)
HGC_DLI_XRND,8673.0,5.4321457396517925,2.608757908234483,1.0,3.0,6.0,7.0,14.0,Educational_Attainment,Highest grade completed ever (cross-round)
BA_XRND,8673.0,0.11161074599331258,0.31490509865286886,0.0,0.0,0.0,0.0,1.0,Educational_Attainment,Child ever received bachelor's degree (yes/no)
MASTERS_XRND,8673.0,0.05672777585610515,0.23133505075016358,0.0,0.0,0.0,0.0,1.0,Educational_Attainment,Child ever received master's degree (yes/no)
BS_XRND,8673.0,0.13789922748760522,0.3448140649429416,0.0,0.0,0.0,0.0,1.0,Educational_Attainment,Child ever received bachelor of science degree (yes/no)
PROFDEGREE_XRND,8673.0,0.006226219301279834,0.07866490318025103,0.0,0.0,0.0,0.0,1.0,Educational_Attainment,Child ever received professional degree (yes/no)
HGC_YEARLY_CHILD,8015.0,10.088833437305054,3.4817924674230647,0.0,10.0,11.0,12.0,95.0,Educational_Attainment,Child's highest grade completed each year (years)
TYPE_OF_SCHOOL_P0,7216.0,1.5085920177383592,1.4633175692143792,1.0,1.0,1.0,1.0,11.0,Educational_Support, Period 0: Type of school attended by child (categorical)
IS_SCHOOL_GIFTED_HANDICAPPED_P0,5848.0,1.1590287277701778,0.7064538279148168,1.0,1.0,1.0,1.0,5.0,Educational_Support, Period 0: School is for gifted/handicapped children (yes/no)
TYPE_OF_SCHOOL_P1,7216.0,1.4499838322246856,1.335575814578004,1.0,1.0,1.0,1.0,11.0,Educational_Support, Period 1: Type of school attended by child (categorical)
TYPE_OF_SCHOOL_P2,7216.0,1.4222930524759794,1.2891611463906638,1.0,1.0,1.0,1.0,11.0,Educational_Support, Period 2: Type of school attended by child (categorical)
TYPE_OF_SCHOOL_P3,7216.0,1.4458656688839613,1.326929143340073,1.0,1.0,1.0,1.0,11.0,Educational_Support, Period 3: Type of school attended by child (categorical)
CH_ATTENDS_PUBLIC_PRIV_RELI_P0,8387.0,1.169529657576635,0.5390201115159138,1.0,1.0,1.0,1.0,4.0,Educational_Support," Period 0: Child attends public, private, or religious school (categorical)"
CH_ATTENDS_PUBLIC_PRIV_RELI_P1,8387.0,1.159693892759202,0.49830160616107594,1.0,1.0,1.0,1.0,4.0,Educational_Support," Period 1: Child attends public, private, or religious school (categorical)"
CH_ATTENDS_PUBLIC_PRIV_RELI_P2,8387.0,1.1312003554253465,0.39384175616832773,1.0,1.0,1.0,1.0,4.0,Educational_Support," Period 2: Child attends public, private, or religious school (categorical)"
CH_ATTENDS_PUBLIC_PRIV_RELI_P3,8387.0,1.1012431370545117,0.3527661147899915,1.0,1.0,1.0,1.0,4.0,Educational_Support," Period 3: Child attends public, private, or religious school (categorical)"
IS_SCHOOL_GIFTED_HANDICAPPED_P1,5848.0,1.1575966142270862,0.7020268788080719,1.0,1.0,1.0,1.0,5.0,Educational_Support, Period 1: School is for gifted/handicapped children (yes/no)
IS_SCHOOL_GIFTED_HANDICAPPED_P2,5848.0,1.1584473324213407,0.6931735726419457,1.0,1.0,1.0,1.0,5.0,Educational_Support, Period 2: School is for gifted/handicapped children (yes/no)
IS_SCHOOL_GIFTED_HANDICAPPED_P3,5848.0,1.1605677154582763,0.7100908335010719,1.0,1.0,1.0,1.0,5.0,Educational_Support, Period 3: School is for gifted/handicapped children (yes/no)
