id,CHILD_EVER_ENROLLED_IN_HEAD,HOW_LONG_CHILD_WAS_IN_HEAD,TRANSFER_INCOME,CHILD_AGE_WHEN_1ST_ATTD_HEA,HGC_YEARLY_CHILD,PROFDEGREE_XRND,HGC_DLI_XRND,ASSOCIATES_XRND,BA_XRND,BS_XRND,MASTERS_XRND,HGC_REV_MOM,ASVAB_2,AFQT_2,ASVAB_9,AFQT_1,MOM_SAMPLE_ID,URBAN_RURAL,ASVAB_5,ASVAB_8,MOM_RACE,AFQT_3,ASVAB_7,HGC_OF_MOTHER_AS_OF_MAY_1_R,MOMHGC_EVER_XRND,ASVAB_1,MOM_SEX,ASVAB_10,HGC_EVER_MOM_XRND,ASVAB_12,ASVAB_3,ASVAB_11,ASVAB_6,ASVAB_4,HIGHEST_DEGREE_EVER_MOM_XRND,CYRB_XRND,VERSION_R29_XRND,MPUBID_XRND,CSEX_XRND,CRACE_XRND,HOW_MANY_BOOKS_P0,HOW_MANY_BOOKS_P1,HOW_MANY_BOOKS_P2,HOW_MANY_BOOKS_P3,HOW_OFTEN_MOM_READS_P0,HOW_OFTEN_MOM_READS_P1,HOW_OFT_CH_EATS_W_P0,HOW_OFT_CH_EATS_W_P1,HOW_OFT_CH_EATS_W_P2,HOW_OFT_CH_EATS_W_P3,MOM_HELPS_CH_LEARN_NUMBERS_P0,MOM_HELPS_CH_LEARN_ALPHABET_P0,MOM_HELPS_CH_LEARN_COLORS_P0,MOM_HELPS_CH_LEARN_SHAPES_P0,HOW_OFT_CH_TAKEN_TO_MUSEUM_P0,HOW_OFT_CH_TAKEN_TO_MUSEUM_P1,HOW_OFT_CH_TAKEN_TO_MUSEUM_P2,HOW_OFT_CH_TAKEN_TO_MUSEUM_P3,MUSIC_INSTMT_CH_P1,MUSIC_INSTMT_CH_P2,MUSIC_INSTMT_CH_P3,CH_GET_SPEC_LESSON_P1,CH_GET_SPEC_LESSON_P2,CH_GET_SPEC_LESSON_P3,HOW_OFT_CH_TAKEN_TO_PERFORMANCE_P1,HOW_OFT_CH_TAKEN_TO_PERFORMANCE_P2,HOW_OFT_CH_TAKEN_TO_PERFORMANCE_P3,HOW_OFT_CH_SPEND_TIME_W_DAD_P1,HOW_OFT_CH_SPEND_TIME_W_DAD_P2,HOW_OFT_CH_SPEND_TIME_W_DAD_P3,HOW_OFT_CH_W_DAD_OUTDOORS_P1,HOW_OFT_CH_W_DAD_OUTDOORS_P2,HOW_OFT_CH_W_DAD_OUTDOORS_P3,DO_PARS_DISCUSS_TV_P1,DO_PARS_DISCUSS_TV_P2,DO_PARS_DISCUSS_TV_P3,PIAT_MATH_P0,PIAT_MATH_P1,PIAT_MATH_P2,PIAT_MATH_P3,PIAT_READ_REC_P0,PIAT_READ_REC_P1,PIAT_READ_REC_P2,PIAT_READ_REC_P3,PIAT_READ_COMP_P0,PIAT_READ_COMP_P1,PIAT_READ_COMP_P2,PIAT_READ_COMP_P3,PPVT_P0,PPVT_P1,PPVT_P2,PPVT_P3,IF_LOW_GRADES_P1,IF_LOW_GRADES_P2,IF_LOW_GRADES_P3,TYPE_OF_SCHOOL_P0,TYPE_OF_SCHOOL_P1,TYPE_OF_SCHOOL_P2,TYPE_OF_SCHOOL_P3,CH_ATTENDS_PUBLIC_PRIV_RELI_P0,CH_ATTENDS_PUBLIC_PRIV_RELI_P1,CH_ATTENDS_PUBLIC_PRIV_RELI_P2,CH_ATTENDS_PUBLIC_PRIV_RELI_P3,IS_SCHOOL_GIFTED_HANDICAPPED_P0,IS_SCHOOL_GIFTED_HANDICAPPED_P1,IS_SCHOOL_GIFTED_HANDICAPPED_P2,IS_SCHOOL_GIFTED_HANDICAPPED_P3,OWN_A_HOME_COMPUTER_P0,OWN_A_HOME_COMPUTER_P1,OWN_A_HOME_COMPUTER_P2,OWN_A_HOME_COMPUTER_P3,PARS_HELP_W_HOMEWORK_P0,PARS_HELP_W_HOMEWORK_P1,PARS_HELP_W_HOMEWORK_P2,PARS_HELP_W_HOMEWORK_P3,DOES_CHILD_USE_ANY_COMPUTER_P0,DOES_CHILD_USE_ANY_COMPUTER_P1,DOES_CHILD_USE_ANY_COMPUTER_P2,DOES_CHILD_USE_ANY_COMPUTER_P3,UNEMPR_TOTAL_P-1,UNEMPR_TOTAL_P0,UNEMPR_TOTAL_P1,UNEMPR_TOTAL_P2,UNEMPR_TOTAL_P3,UNEMPSP_TOTAL_P-1,UNEMPSP_TOTAL_P0,UNEMPSP_TOTAL_P1,UNEMPSP_TOTAL_P2,UNEMPSP_TOTAL_P3,AFDC_TOTAL_P-1,AFDC_TOTAL_P0,AFDC_TOTAL_P1,AFDC_TOTAL_P2,AFDC_TOTAL_P3,FDSTMPS_TOTAL_P-1,FDSTMPS_TOTAL_P0,FDSTMPS_TOTAL_P1,FDSTMPS_TOTAL_P2,FDSTMPS_TOTAL_P3,SSI_TOTAL_P-1,SSI_TOTAL_P0,SSI_TOTAL_P1,SSI_TOTAL_P2,SSI_TOTAL_P3,WELFARE_AMT_P-1,WELFARE_AMT_P0,WELFARE_AMT_P1,WELFARE_AMT_P2,WELFARE_AMT_P3,MOTHER_BIRTH_MONTH_P-1,MOTHER_BIRTH_MONTH_P0,MOTHER_BIRTH_MONTH_P1,MOTHER_BIRTH_MONTH_P2,MOTHER_BIRTH_MONTH_P3,MOTHER_BIRTH_YEAR_P-1,MOTHER_BIRTH_YEAR_P0,MOTHER_BIRTH_YEAR_P1,MOTHER_BIRTH_YEAR_P2,MOTHER_BIRTH_YEAR_P3,SPOUSE_WKSWK_PCY_P-1,SPOUSE_WKSWK_PCY_P0,SPOUSE_WKSWK_PCY_P1,SPOUSE_WKSWK_PCY_P2,SPOUSE_WKSWK_PCY_P3,SPOUSE_HRSWK_PCY_P-1,SPOUSE_HRSWK_PCY_P0,SPOUSE_HRSWK_PCY_P1,SPOUSE_HRSWK_PCY_P2,SPOUSE_HRSWK_PCY_P3,LABOR_INCOME_P-1,LABOR_INCOME_P0,LABOR_INCOME_P1,LABOR_INCOME_P2,LABOR_INCOME_P3,WKSWK_PCY_P-1,WKSWK_PCY_P0,WKSWK_PCY_P1,WKSWK_PCY_P2,WKSWK_PCY_P3,HRSWK_PCY_P-1,HRSWK_PCY_P0,HRSWK_PCY_P1,HRSWK_PCY_P2,HRSWK_PCY_P3,TNFI_TRUNC_P-1,TNFI_TRUNC_P0,TNFI_TRUNC_P1,TNFI_TRUNC_P2,TNFI_TRUNC_P3,NUM_OLDER_SIBLINGS_P-1,NUM_OLDER_SIBLINGS_P0,NUM_OLDER_SIBLINGS_P1,NUM_OLDER_SIBLINGS_P2,NUM_OLDER_SIBLINGS_P3,NUM_CHILDREN_P-1,NUM_CHILDREN_P0,NUM_CHILDREN_P1,NUM_CHILDREN_P2,NUM_CHILDREN_P3,MOTHER_AGE_P-1,MOTHER_AGE_P0,MOTHER_AGE_P1,MOTHER_AGE_P2,MOTHER_AGE_P3
201.0,0.0,,,,,0.0,10.0,0.0,0.0,0.0,1.0,12.0,,,,,,1.0,,,3.0,,,12.0,12.0,,,,12.0,,,,,,1.0,1993.0,532.0,2.0,2.0,3.0,,,20.0,,,5.0,,,14.0,,,,,,0.028846153846153848,0.028846153846153848,0.06850961538461539,,,1.0,,,0.5,,,0.014423076923076922,,,1.0,,,4.0,,,1.0,,10.0,38.0,,,10.0,35.0,,,10.0,26.0,,,30.0,67.33333333333334,,,,5.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,52.0,52.0,52.0,,43.0,36.0,39.625,40.0,,43785.857429144016,8558.784235136942,0.0,7831.772115659891,30717.602061265392,52.0,9.916666666666666,0.0,33.2,52.0,1820.0,347.0833333333333,0.0,578.0,1164.8,,125964.07099914116,118104.04916976813,94043.88119095334,69571.36764958489,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,,,,,
202.0,0.0,,,,,,,,,,,12.0,,,,,,1.0,,,3.0,,,12.0,12.0,,,,12.0,,,,,,1.0,1994.0,532.0,2.0,2.0,3.0,,,20.0,,,2.2836538461538463,,,10.5,,1.0,1.0,1.0,1.0,0.03545673076923077,0.0751201923076923,0.1266826923076923,,,0.5,,,0.0,,,0.0673076923076923,,,1.0,,,1.0,,,1.0,,,37.0,,,,42.5,,,,36.0,,,,,,,,5.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,52.0,52.0,52.0,,35.0,36.583333333333336,40.0,40.0,,51352.705410821654,0.0,0.0,10888.617234468938,34575.94617807043,52.0,1.25,2.25,41.8,52.0,1820.0,43.75,36.0,726.0,1235.0,133517.0340681363,116268.25078728888,124120.89894073864,70684.90581162326,81614.73060406529,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,,,,,
301.0,0.0,,352.99856856570295,,12.0,0.0,6.0,0.0,0.0,0.0,0.0,10.0,0.0,46.0,13.0,51.0,,1.0,29.0,72.0,3.0,49444.0,46.0,10.0,12.0,51.0,,13.0,12.0,14.0,14.0,13.0,12.0,13.0,1.0,1981.0,532.0,3.0,2.0,3.0,,,20.0,,,2.0,,,10.5,,,,,,,,0.5,,,0.5,,,1.0,,,0.0673076923076923,,,1.0,,,2.5,,,1.0,,,38.0,,,,40.5,,,,40.0,,,50.0,92.66666666666666,,,,5.0,,,,,1.0,,,1.0,,,,2.5,,,,1.0,,,,,0.34522439585730724,,,,,,,,,,,,11484.650443744633,,,,,,,,,1484.9792891906266,756.175616539201,,,,,625.6799312911538,,,,1422.5828227884344,606.6840824506157,,,,,,,,,,,,,,50.4,41.0,50.8,49.9,,45.6,46.25,54.6,47.0,8008.016032064128,2296.2668193529917,3776.8751789292883,14957.05697108503,28710.621242484973,40.0,8.4,21.25,15.3,19.6,1440.0,244.0,1014.5,706.0,1171.2,8008.016032064128,25480.21448611509,41931.15151732036,54809.15545376468,144238.906384197,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,,1986.0,,,
302.0,0.0,,1882.2467792728316,,9.0,0.0,6.0,0.0,0.0,0.0,0.0,10.0,,,,,,1.0,,,3.0,,,10.0,12.0,,,,12.0,,,,,,1.0,1983.0,532.0,3.0,2.0,3.0,,,20.0,,,2.075373993095512,,,14.0,,,,,,,,1.0,,,0.0,,,1.0,,,0.028846153846153848,,,1.0,,,7.0,,,,,,38.0,,,,42.0,,,,39.0,,,54.0,91.0,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,17966.190667048384,5003.110220440883,,,,,,,,256.5270541082164,1533.113165105722,528.3890842910312,1007.2898177306997,1646.872793205459,,625.6799312911538,,,,256.5270541082164,1403.1205267678217,495.89092470655606,1007.2898177306997,1646.872793205459,,,,,,,,,,,52.0,50.666666666666664,39.5,51.7,43.9,40.0,45.5,48.5,55.8,43.0,9501.002004008016,1009.4379234659796,6681.07643859147,40041.482965931864,487.5751503006012,19.0,9.0,18.5,12.3,23.8,760.0,289.6666666666667,922.5,543.8,1515.4,23073.862009733755,31760.351464834428,38037.92935871744,107612.10993415404,128839.24992842833,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,,,,,
303.0,0.0,,1882.2467792728316,,8.0,0.0,6.0,0.0,0.0,0.0,0.0,10.0,,,,,,1.0,,,3.0,,,10.0,12.0,,,,12.0,,,,,,1.0,1986.0,532.0,3.0,2.0,3.0,,,20.0,,,4.0,,,2.492059838895282,,1.0,1.0,1.0,1.0,,,0.1346153846153846,,,1.0,,,1.0,,,0.10288461538461538,,,1.0,,,2.5,,,1.0,,,23.5,40.0,,,23.0,40.0,,,20.0,38.0,,,92.5,,,,5.0,,,,1.0,,,,3.0,1.25,,,5.0,,,,1.0,,,,,,,,,,,,,,,,11484.650443744633,,,,,,,,,,431.6651398034165,815.414925088272,1391.0396030155553,1838.7476858478867,,625.6799312911538,,,,,496.42589941788344,815.414925088272,1391.0396030155553,1838.7476858478867,,,,,,,,,,,52.0,43.666666666666664,52.0,49.9,36.25,50.0,48.166666666666664,57.25,47.0,40.0,1980.3320927569423,3806.58936921462,16763.312338963646,28710.621242484973,0.0,23.0,14.166666666666666,19.125,19.6,13.0,460.0,676.3333333333334,882.5,1171.2,910.0,29400.314915545376,43554.74992842829,56816.74062410536,144238.906384197,,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,,,,,
401.0,0.0,,12767.040366447181,,9.0,0.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,48.0,11.0,62.0,5.0,1.0,29.0,62.0,3.0,55761.0,46.0,9.0,14.0,51.0,2.0,10.0,14.0,10.0,15.0,10.0,12.0,18.0,1.0,1980.0,532.0,4.0,1.0,3.0,,,20.0,,,3.0,,,0.0,,,,,,,,0.1346153846153846,,,0.0,,,1.0,,,0.0,,,6.0,,,,,,1.0,,,38.5,,,,44.5,,,,,,,,104.5,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,1.5,,,,,,,12781.054680790152,,,,,,,,,3867.067993129116,,,,,1165.1853707414832,,,,,,,,,,5032.253363870598,,,,8.0,8.0,,,,62.0,62.0,,,,,49.53846153846153,50.03846153846154,51.07692307692308,51.94230769230769,,70.2923076923077,72.6923076923077,55.38461538461538,40.96153846153846,,314.49791010592617,28176.989693673062,46002.51932436302,59188.19782421987,0.0,3.6,41.25,36.4,47.5,0.0,90.0,1671.0,1317.4666666666667,1928.6666666666665,22390.0,10859.531348411107,29045.387202977385,51437.219352991706,106473.9478957916,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,1917.0,1919.0,,,
403.0,,,20.65845977669625,,,,,,,,,14.0,,,,,,1.0,,,3.0,,,14.0,14.0,,,,14.0,,,,,,1.0,1997.0,532.0,4.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.681362725450903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,52.0,52.0,52.0,52.0,40.0,41.66666666666667,45.416666666666664,49.16666666666667,53.33333333333333,77945.89178356715,54500.86744918409,109215.56613226455,163930.264815345,224724.37446321215,52.0,38.22222222222223,34.22222222222222,30.22222222222223,25.77777777777778,2392.0,1265.7777777777778,1233.7777777777776,1201.7777777777778,1166.2222222222222,,164193.92607437097,256757.22796386425,349320.5298533575,452168.64306390565,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,,,,,
801.0,0.0,,250.60120240480967,,12.0,0.0,7.0,1.0,0.0,0.0,0.0,12.0,1.0,42.0,11.0,43.0,6.0,1.0,35.0,48.0,3.0,44022.0,24.0,12.0,14.0,51.0,2.0,4.0,14.0,12.0,18.0,12.0,12.0,13.0,2.0,1976.0,532.0,8.0,2.0,3.0,,,18.5,5.25,,,,,2.1,0.0,,,,,,,0.1346153846153846,0.1346153846153846,,1.0,0.25,,0.7,0.0,,0.1346153846153846,0.055288461538461536,,2.4,5.25,,1.0,,,1.0,1.0,,,59.0,,,,78.0,,,,56.0,,,,136.0,,,2.5,3.75,,,1.1666666666666667,1.75,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,3081.16676209562,7565.579301460063,12797.393930718581,,,,2118.661322645291,,,,802.5300601202405,2921.4478957915835,4510.636272545091,,,678.1080017177212,1347.92427712568,1201.6912396221012,459.29692718770883,,,,,,,680.0919696535929,1347.92427712568,4544.541941024907,1255.2137608550431,,7.0,,,,,58.0,,,,,37.333333333333336,40.75,46.8,52.0,,41.666666666666664,38.5,55.0,40.0,,3987.011928619144,12079.695104494704,15984.811680503868,37633.96793587175,,26.666666666666668,52.0,36.0,52.0,,662.3333333333334,2076.5,1470.4,2053.5,,16943.60578299456,35839.65817348984,46612.45668479817,45201.36057829946,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,,1922.0,,,
802.0,0.0,,250.60120240480967,,12.0,0.0,6.0,0.0,0.0,0.0,0.0,12.0,1.0,42.0,11.0,43.0,6.0,1.0,35.0,48.0,3.0,44022.0,24.0,12.0,14.0,51.0,2.0,4.0,14.0,12.0,18.0,12.0,12.0,13.0,2.0,1979.0,532.0,8.0,1.0,3.0,,12.5,17.5,,,0.5673076923076923,,5.25,0.4375,,,,,,,0.1346153846153846,0.09495192307692307,,0.0,0.0,,0.0,0.375,,0.1346153846153846,0.09495192307692307,,1.5,2.125,,1.0,1.0,,1.0,1.0,,,37.0,,,,49.0,,,,48.0,,,,,,,,3.5,,,,,3.0,,,1.0,,,,1.0,,,,,,,,,0.11507479861910243,,,,,,5323.373031777842,12049.991840824508,,,,2118.661322645291,,,,7.935871743486975,,4775.501002004008,,,3.1491554537646724,1093.7357095142665,1416.778437828037,651.5597862391452,,,,,,,11.085027197251646,1093.7357095142665,4202.4873556637085,2243.393453573814,,,7.0,,,,,58.0,,,,,41.5,39.0,52.0,,,42.5,49.125,47.5,,,8015.526195247639,8425.725450901804,33161.482965931864,49644.11680503865,,39.333333333333336,32.25,51.8,52.0,,1400.1666666666667,1281.0,2060.8,2293.8,,26185.082975474765,43590.83109075294,45743.7849413112,54553.81477240196,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,,1922.0,,,
803.0,0.0,,250.60120240480967,,11.0,0.0,7.0,1.0,0.0,0.0,0.0,12.0,1.0,42.0,11.0,43.0,,1.0,35.0,48.0,3.0,44022.0,24.0,12.0,14.0,51.0,,4.0,14.0,12.0,18.0,12.0,12.0,13.0,2.0,1982.0,532.0,8.0,2.0,3.0,,,20.0,,,1.1130609896432682,,,3.5,,1.0,1.0,1.0,1.0,,,0.08173076923076923,,,0.5,,,1.0,,,0.028846153846153844,,,1.5,,,1.0,,,0.5,,,41.5,52.0,,,46.0,76.0,,,43.5,51.0,,17.5,87.5,,,,4.0,,,,,3.0,,,1.0,,,,1.0,,,,1.0,,,,,0.11507479861910243,,,,,,,14292.19811050673,,,,2118.661322645291,,,,,4775.501002004008,,,,,1479.5884626395648,939.9540748162992,363.16549766199074,,,,,,,,3867.338963641569,3725.6629926519704,761.1239144956578,,7.0,,,,,58.0,,,,,52.0,40.166666666666664,52.0,,,45.0,44.0,51.25,,,7757.027769825367,10460.94570092566,25019.505868880624,43535.21328371028,57300.787288863445,51.0,43.166666666666664,45.25,52.0,52.0,1002.0,1756.5,1799.75,2178.6,2236.0,30017.646149441745,38620.793682603304,48970.55725737189,49083.27655310622,,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,1923.0,,,,
