,count,mean,std,min,25%,50%,75%,max,Category,Description
id,11551.0,600544.2828326551,345122.67551995086,201.0,309501.5,604004.0,875702.5,1267501.0,Other,Unique identifier for each individual
CYRB_XRND,11551.0,1986.1033676737945,6.427030169239867,1970.0,1981.0,1985.0,1990.0,2014.0,Other,Child's year of birth
MPUBID_XRND,11551.0,6005.423166825383,3451.2269796007126,2.0,3095.0,6040.0,8757.0,12675.0,Other,Mother's public ID (cross-round)
CSEX_XRND,11549.0,1.4893064334574422,0.4999072779052105,1.0,1.0,1.0,2.0,2.0,Other,"Child's sex (cross-round, categorical)"
CRACE_XRND,11551.0,2.338239113496667,0.7803595454804042,1.0,2.0,3.0,3.0,3.0,Other,"Child's race (cross-round, categorical)"
SSI_TOTAL_P1,1398.0,5937.623157794935,5975.329610547809,0.0,2523.734325794446,4934.722104924134,7544.130952380953,72078.32808474092,,
SSI_TOTAL_P0,1852.0,4377.99460704335,4862.641462831045,0.0,1322.9466075007158,3212.5307758373892,5822.600501002004,45474.57131405668,,
SSI_TOTAL_P-1,451.0,4625.483564531661,11706.800386543053,0.22902948754652164,648.0961923847696,2316.0,5750.988834812482,200137.49098196396,,
FDSTMPS_TOTAL_P3,2107.0,3285.475909349622,3332.1089151465467,0.0,1282.9471442885774,2570.041683366734,4372.028056112225,60444.78289913161,,
FDSTMPS_TOTAL_P2,2998.0,3450.5733814628857,3353.721876353745,0.0,1518.4802254509018,2823.2304609218436,4634.031462925853,74920.52447752649,,
FDSTMPS_TOTAL_P1,3643.0,3273.683233409732,3083.4275133328356,0.2556132673510286,1426.2233037503581,2746.1517320354997,4334.887935211082,64421.94446034929,,
FDSTMPS_TOTAL_P0,4583.0,2520.1036248266428,2392.752337735405,0.1660463784712282,932.3206412825651,1952.6452905811625,3434.5449756656176,32815.97137131406,,
FDSTMPS_TOTAL_P-1,1644.0,2411.985339988284,3598.4066638795207,0.143143429716576,483.4350128829086,1577.66676209562,3275.4108216432865,63669.18980818781,,
SSI_TOTAL_P2,1339.0,6813.916315945586,6677.110786025803,0.0,2874.164843973662,5459.8196392785585,8446.108016032063,66306.86332665333,,
AFDC_TOTAL_P3,950.0,5087.989090183297,4728.027536400253,0.0,2061.472373318065,4008.6458631548817,6788.121428571429,58227.842351369414,,
AFDC_TOTAL_P1,2456.0,6102.604166882351,5824.0355689971075,0.0,2884.2844796736335,5069.925279129688,8178.671772115662,173901.21042084167,,
AFDC_TOTAL_P0,3410.0,5045.0075936504,4663.261749957274,0.0,2036.034425994847,4118.016948182079,6876.557328943602,113456.20040080162,,
AFDC_TOTAL_P-1,1133.0,5409.989142071812,6950.373039371695,0.0,1549.886057829946,3762.3967935871747,7187.216719152592,116526.63040366449,,
UNEMPSP_TOTAL_P3,473.0,7877.365759682664,10941.812244358685,0.025765817348983682,943.2858173489838,4542.257543658746,10183.355281992557,95248.76253077584,,
UNEMPSP_TOTAL_P2,661.0,6995.947705316412,16448.862214484707,0.0,1518.6292585170345,3847.195104494704,8222.337389063843,311073.5470941884,,
UNEMPSP_TOTAL_P1,880.0,5393.640775763815,8563.433418663984,2.559404523332379,1714.4590609791012,3497.6251073575727,6332.553171819831,155544.89836816493,,
UNEMPSP_TOTAL_P0,1632.0,3810.5991097390697,5192.5721524328565,0.8130546807901518,1337.485828800458,2599.8311480103066,4762.974126825079,83623.81563126254,,
UNEMPSP_TOTAL_P-1,479.0,2880.2338371942215,3932.808294741565,0.6899513312338964,915.8322359003723,1750.8989407386202,3596.428857715431,49432.24277125681,,
UNEMPR_TOTAL_P3,1045.0,6399.443820139985,10933.564312144908,0.0,933.413111938162,3299.046664758088,8063.559919839681,221097.55511022045,,
UNEMPR_TOTAL_P2,1258.0,5124.5817641646945,8847.012653000298,0.0,1153.6597480675637,2928.683366733467,6335.615445176068,221097.55511022045,,
UNEMPR_TOTAL_P1,1178.0,4100.076153663226,7700.375974758661,0.0,1164.3834812482107,2526.2567277411963,5033.720011451476,221097.55511022045,,
UNEMPR_TOTAL_P0,1383.0,3448.0084985270046,6891.902835268122,0.0,1034.3266533066133,2085.0,4172.8756799312905,221097.55511022045,,
AFDC_TOTAL_P2,1799.0,6231.503346162761,9399.33307847218,0.0,2515.241683366734,4858.5561981105075,7874.503635843115,200137.49098196396,,
UNEMPR_TOTAL_P-1,367.0,2964.8846263956484,4576.642163278932,0.0,779.0243343830521,1667.6470083023191,3602.9058116232472,53826.56513026052,,
SSI_TOTAL_P3,1020.0,8316.16380326897,8582.501723021931,0.0,3380.727902233038,6275.789375649259,10117.866261093617,82505.65130260523,,
WELFARE_AMT_P0,4973.0,6008.335936801574,6127.052434092224,0.0,1755.3585742914402,4330.994846836531,8534.282851417121,132047.94589178357,,
MOTHER_AGE_P1,298.0,1925.038590604027,10.896483572046122,1919.0,1922.5,1923.0,1923.5,1986.0,,
MOTHER_AGE_P0,3018.0,1922.7992876076871,9.427171094518686,1916.0,1920.0,1921.5,1923.0,1986.0,,
MOTHER_AGE_P-1,1310.0,1921.1824427480917,8.762959242482722,1915.0,1918.0,1920.0,1922.0,1986.0,,
NUM_CHILDREN_P3,11551.0,2.9319539433815254,1.428786176917479,1.0,2.0,3.0,4.0,11.0,,
NUM_CHILDREN_P2,11551.0,2.9319539433815254,1.428786176917479,1.0,2.0,3.0,4.0,11.0,,
NUM_CHILDREN_P1,11551.0,2.9319539433815254,1.428786176917479,1.0,2.0,3.0,4.0,11.0,,
NUM_CHILDREN_P0,11551.0,2.9319539433815254,1.428786176917479,1.0,2.0,3.0,4.0,11.0,,
NUM_CHILDREN_P-1,11551.0,2.9319539433815254,1.428786176917479,1.0,2.0,3.0,4.0,11.0,,
NUM_OLDER_SIBLINGS_P3,11551.0,0.953943381525409,1.1380661762639182,0.0,0.0,1.0,1.0,10.0,,
NUM_OLDER_SIBLINGS_P2,11551.0,0.953943381525409,1.1380661762639182,0.0,0.0,1.0,1.0,10.0,,
NUM_OLDER_SIBLINGS_P1,11551.0,0.953943381525409,1.1380661762639182,0.0,0.0,1.0,1.0,10.0,,
NUM_OLDER_SIBLINGS_P0,11551.0,0.953943381525409,1.1380661762639182,0.0,0.0,1.0,1.0,10.0,,
WELFARE_AMT_P-1,1937.0,6206.7320063831485,10191.147540910577,0.25765817348983683,894.7334669338679,3643.9599198396795,8233.054680790152,200838.25250501002,,
NUM_OLDER_SIBLINGS_P-1,11551.0,0.953943381525409,1.1380661762639182,0.0,0.0,1.0,1.0,10.0,,
MOTHER_BIRTH_YEAR_P2,4.0,57.5,1.0,57.0,57.0,57.0,57.5,59.0,,
MOTHER_BIRTH_YEAR_P1,288.0,57.798611111111114,0.9459605012056634,57.0,57.0,58.0,58.0,62.0,,
MOTHER_BIRTH_YEAR_P0,2968.0,59.25909703504043,1.9090262756751242,56.0,58.0,59.0,61.0,64.0,,
MOTHER_BIRTH_YEAR_P-1,1288.0,59.982142857142854,2.0909003435994378,57.0,58.0,60.0,62.0,64.0,,
MOTHER_BIRTH_MONTH_P3,0.0,,,,,,,,,
MOTHER_BIRTH_MONTH_P2,4.0,8.0,2.943920288775949,5.0,6.5,7.5,9.0,12.0,,
MOTHER_BIRTH_MONTH_P1,288.0,5.895833333333333,3.4087788897439157,1.0,3.0,6.0,9.0,12.0,,
MOTHER_BIRTH_MONTH_P0,2968.0,6.342654986522911,3.4092869101660432,1.0,3.0,6.0,9.0,12.0,,
