scenario_family,scenario,parameter_value,period,hc,parent_h,c_policy,l_policy,e_policy,perceived_hc_next_policy,true_expected_hc_next_policy,value_policy
parent_human_capital_complements,low h,0.8,1,0.5,0.8,0.618351018336463,0.27111979162327904,0.12206148160105891,0.5370634171667198,0.5397554587480892,-16.25845479461487
parent_human_capital_complements,low h,0.8,1,0.5000203210855501,0.8,0.618349204099165,0.27112009822748495,0.12206373734841333,0.5370724120119127,0.5397644986801312,-16.25839055239843
parent_human_capital_complements,low h,0.8,1,0.5000812892976928,0.8,0.6183437814806791,0.2711210463241799,0.12207052522613995,0.5370994051047293,0.5397916270763886,-16.25819782297683
parent_human_capital_complements,low h,0.8,1,0.5001829195049198,0.8,0.6183353999255297,0.2711219018600299,0.12208013875291332,0.5371435831388274,0.5398360265538041,-16.25787659805094
parent_human_capital_complements,low h,0.8,1,0.5003252364947652,0.8,0.6183591272566321,0.27108436738537217,0.12200236177830379,0.5371618304448342,0.539854365324813,-16.257427022683846
parent_human_capital_complements,low h,0.8,1,0.5005082749838822,0.8,0.6185252317509271,0.271107011664686,0.12186886504622074,0.5371618857852323,0.5398544209426059,-16.256849777312766
parent_human_capital_complements,low h,0.8,1,0.500732079632158,0.8,0.6185244621425952,0.271089599594743,0.12184456127383486,0.5372373228447296,0.5399302361319376,-16.2561451014863
parent_human_capital_complements,low h,0.8,1,0.5009967050608752,0.8,0.6185010258163964,0.2710936713332993,0.12187386090355466,0.5373542583164195,0.5400477577451185,-16.25531228212954
parent_human_capital_complements,low h,0.8,1,0.5013022158749305,0.8,0.618473878637348,0.271098441770093,0.12190787751158591,0.5374892988280713,0.5401834751501519,-16.25435124009507
parent_human_capital_complements,low h,0.8,1,0.5016486866891229,0.8,0.618486956696725,0.2710560029033283,0.1218336874840677,0.537588347295619,0.5402830201002093,-16.253262156533985
parent_human_capital_complements,low h,0.8,1,0.502036202158526,0.8,0.6185916672510425,0.2710779387124964,0.1217605644949523,0.5376980843984401,0.5403933072625473,-16.25204713841717
parent_human_capital_complements,low h,0.8,1,0.502464857012963,0.8,0.6185542380758099,0.27108443436302876,0.12180734740695154,0.537886780386637,0.540582949093321,-16.250704348681474
parent_human_capital_complements,low h,0.8,1,0.5029347560956027,0.8,0.6185130307296591,0.27109140592817704,0.12185859380691585,0.538093495753955,0.5407907006257298,-16.249233450338092
parent_human_capital_complements,low h,0.8,1,0.5034460144056994,0.8,0.618467716741949,0.2710994682855943,0.12191551758930674,0.5383188131111498,0.5410171473908775,-16.24763437300558
parent_human_capital_complements,low h,0.8,1,0.5039987571454999,0.8,0.6184190287763716,0.2711079042248741,0.12197635330744722,0.5385618920569275,0.5412614447749413,-16.24590704817306
parent_human_capital_complements,low h,0.8,1,0.5045931197713469,0.8,0.6183667647694396,0.27111698165664294,0.1220416888161262,0.5388230232558314,0.5415238848994268,-16.244051401927315
parent_human_capital_complements,low h,0.8,1,0.5052292480490046,0.8,0.6184405126294754,0.27110473481841413,0.1219503055090409,0.5390207547777027,0.541722607554676,-16.24206783880575
