scenario_family,scenario,parameter_value,period,hc,parent_h,c_policy,l_policy,e_policy,perceived_hc_next_policy,true_expected_hc_next_policy,value_policy
rho,complements,-0.4,1,0.5,1.2,0.8311881654425837,0.3227788670177115,0.2160141873156731,0.5702924224118547,0.5731510250751525,-12.334459119231827
rho,complements,-0.4,1,0.5000203210855501,1.2,0.831185214616087,0.32277921938651594,0.21601789925878753,0.5703021561929565,0.5731608076470351,-12.334391570175383
rho,complements,-0.4,1,0.5000812892976928,1.2,0.8311762975932413,0.32278024590201726,0.21602903355511607,0.5703313606846361,0.5731901585268383,-12.334188919908588
rho,complements,-0.4,1,0.5001829195049198,1.2,0.8311614395219868,0.32278196507638446,0.21604760504300352,0.5703800401573201,0.5732390820063947,-12.333851159139394
rho,complements,-0.4,1,0.5003252364947652,1.2,0.8312178474207876,0.32277593723780085,0.21597817701286215,0.5704176974183739,0.5732769280252551,-12.333378496655072
rho,complements,-0.4,1,0.5005082749838822,1.2,0.8312549385006758,0.32272607917534935,0.21583339251807881,0.570452243849056,0.5733116476206416,-12.332771051876739
rho,complements,-0.4,1,0.500732079632158,1.2,0.8314434105713338,0.32274923099183905,0.21569492837103857,0.570498274252506,0.573357908752449,-12.332029732498532
rho,complements,-0.4,1,0.5009967050608752,1.2,0.831459753234121,0.32270810236248226,0.21558974786884072,0.5705790788257968,0.5734391183603491,-12.331154026893975
rho,complements,-0.4,1,0.5013022158749305,1.2,0.831685509197511,0.3227211519009431,0.21539217890852608,0.5706407976599305,0.573501146561426,-12.33014544843244
rho,complements,-0.4,1,0.5016486866891229,1.2,0.8316349021946751,0.3227271612273577,0.2154557660564175,0.5708064859018553,0.5736676653191198,-12.329002819713741
rho,complements,-0.4,1,0.502036202158526,1.2,0.8315786022315953,0.3227336595787791,0.21552610245856743,0.5709914736540229,0.5738535803262539,-12.327725588827649
rho,complements,-0.4,1,0.502464857012963,1.2,0.831516331569633,0.3227408664003463,0.21560393985511506,0.5711959943310264,0.574059126167417,-12.326313697425999
rho,complements,-0.4,1,0.5029347560956027,1.2,0.8315269198042123,0.3227396160695757,0.21559065090607124,0.5713884554095822,0.5742525519611437,-12.32476739629979
rho,complements,-0.4,1,0.5034460144056994,1.2,0.8314527397882461,0.3227482643829751,0.21568351127898006,0.5716320693017731,0.5744973869730509,-12.323087050395523
rho,complements,-0.4,1,0.5039987571454999,1.2,0.8313727159686276,0.3227575171645255,0.21578352110674748,0.5718951410292504,0.5747617773530497,-12.32127191797222
rho,complements,-0.4,1,0.5045931197713469,1.2,0.8312874919828382,0.3227673831544877,0.2158900556308553,0.5721774751035558,0.5750455266327918,-12.319321918380746
rho,complements,-0.4,1,0.5052292480490046,1.2,0.831246945999454,0.32277209638553317,0.21594078219329754,0.5724590863501073,0.5753285494615908,-12.317237364201839
rho,complements,-0.4,1,0.5059072981132409,1.2,0.8311491548480539,0.3227834207102553,0.21606303388609766,0.5727808364640415,0.5756519123546827,-12.315018282594735
rho,complements,-0.4,1,0.5066274365316988,1.2,0.831045375127849,0.32279542085091545,0.2161927339101284,0.5731221882548386,0.5759949751784517,-12.31266410473756
rho,complements,-0.4,1,0.507389840373095,1.2,0.8315652075028429,0.3227712839133927,0.21562076575008537,0.5732521185822202,0.5761255567843094,-12.310178421167333
rho,complements,-0.4,1,0.5081946972797818,1.2,0.8315600953079179,0.32273579809960734,0.21554922858723397,0.5735660716728151,0.57644108357132,-12.307568570240758
rho,complements,-0.4,1,0.5090422055447187,1.2,0.8314825569264217,0.3227447715293816,0.2156461495770426,0.5739484572776775,0.576825385892003,-12.304824917849679
rho,complements,-0.4,1,0.5099325741928927,1.2,0.8317394917539775,0.3227148915068296,0.2153246739007743,0.5742130139885916,0.5770912686989491,-12.301951386570169
rho,complements,-0.4,1,0.5108660230672385,1.2,0.8316729821620319,0.32272276000229616,0.21540817944292764,0.574625472846978,0.5775057950159668,-12.298948952757556
rho,complements,-0.4,1,0.5118427829191048,1.2,0.8315342119822873,0.32273884332266234,0.21558168959466345,0.575084321448578,0.5779669436057536,-12.295813048087695
rho,complements,-0.4,1,0.5128630955033207,1.2,0.8313895490122813,0.3227555839467975,0.21576251231280114,0.575562846793112,0.5784478675685588,-12.292542521461094
rho,complements,-0.4,1,0.5139272136779165,1.2,0.8313604482454611,0.3227141487132349,0.21570211297512626,0.5759843995106971,0.5788715333279341,-12.289138814508899
rho,complements,-0.4,1,0.5150354015085564,1.2,0.8315044104983016,0.3227422523556714,0.21561885458994864,0.5764081288046201,0.5792973865737816,-12.28560998555513
rho,complements,-0.4,1,0.5161879343777439,1.2,0.8314385437236174,0.3227498354599902,0.2157011008699616,0.5769066222777387,0.5797983787558325,-12.281947733688881
rho,complements,-0.4,1,0.5173850990988615,1.2,0.8312712310294269,0.3227692608357088,0.21591037237570398,0.5774637141381567,0.5803582630508214,-12.27815305628953
rho,complements,-0.4,1,0.5186271940351138,1.2,0.8312946035397734,0.32276657338323633,0.21588119496801714,0.5779606947980229,0.5808577348366118,-12.274225448755601
rho,complements,-0.4,1,0.5199145292234401,1.2,0.8314079291929573,0.32274826438297505,0.21572832187426888,0.5784351093341821,0.5813345273855297,-12.270174254605491
rho,complements,-0.4,1,0.5212474265034702,1.2,0.8315432681584896,0.3227377683416734,0.21557031145952482,0.578924126453578,0.5818259957134371,-12.265995549515582
rho,complements,-0.4,1,0.5226262196515982,1.2,0.8314573799210191,0.3227477056794225,0.21567766434653357,0.5795175126945434,0.5824223563153131,-12.261689715687055
