scenario_family,scenario,parameter_value,period,hc,parent_h,c_policy,l_policy,e_policy,perceived_hc_next_policy,true_expected_hc_next_policy,value_policy
parent_human_capital,low h,0.8,1,0.5,0.8,0.6329678568368001,0.34065844056816824,0.2075802975813622,0.45425612197287457,0.45653309025977423,-17.713468291175452
parent_human_capital,low h,0.8,1,0.5000203210855501,0.8,0.6329669319311868,0.3406594327602206,0.2075826512435308,0.4542642501536611,0.4565412591832365,-17.713421400150988
parent_human_capital,low h,0.8,1,0.5000812892976928,0.8,0.6329640979923306,0.34066238812331967,0.20758974090524984,0.45428865441063543,0.456565785767058,-17.71328072075999
parent_human_capital,low h,0.8,1,0.5001829195049198,0.8,0.6329593708014374,0.34066731269683687,0.20760155948200773,0.4543293329122376,0.456606668170498,-17.713046234050424
parent_human_capital,low h,0.8,1,0.5003252364947652,0.8,0.6329802805754596,0.34064550647285186,0.20754924874544714,0.4543411887066217,0.4566185833922988,-17.71271797580867
parent_human_capital,low h,0.8,1,0.5005082749838822,0.8,0.6329715813271094,0.34065459971590056,0.20757104226378742,0.4544147682469026,0.45669253175156,-17.71229594262765
parent_human_capital,low h,0.8,1,0.500732079632158,0.8,0.6329612815884211,0.3406653152023413,0.20759677230295032,0.45450412215008734,0.4567823335430485,-17.711780008484247
parent_human_capital,low h,0.8,1,0.5009967050608752,0.8,0.6329560220964127,0.34067078266813106,0.2076099049456961,0.45459842789483557,0.45687711199730935,-17.71117011056852
parent_human_capital,low h,0.8,1,0.5013022158749305,0.8,0.6329422368136832,0.3406851380738694,0.20764436201268874,0.45471992167203457,0.45699921476460087,-17.710466231413157
parent_human_capital,low h,0.8,1,0.5016486866891229,0.8,0.6329262094431984,0.34070183730353637,0.20768443627389396,0.4548583273095938,0.45713831416330547,-17.70966821639531
parent_human_capital,low h,0.8,1,0.502036202158526,0.8,0.632908246463225,0.3407205498389788,0.20772934530490444,0.4550131481357212,0.45729391103205325,-17.708775956665757
