scenario_family,scenario,parameter_value,period,hc,parent_h,c_policy,l_policy,e_policy,perceived_hc_next_policy,true_expected_hc_next_policy,value_policy
public_input_complements,low g,0.6,1,0.5,1.2,0.814215571372882,0.43457249840616885,0.4744610251844428,0.5175209932614593,0.5201150780353604,-14.558399264541066
public_input_complements,low g,0.6,1,0.5000203210855501,1.2,0.8142133458309139,0.43457405367190405,0.47446661010039903,0.5175306644026489,0.520124797653347,-14.558332272304236
public_input_complements,low g,0.6,1,0.5000812892976928,1.2,0.814206606645993,0.4345787244768333,0.4744834382239671,0.517559707401891,0.5201539862312285,-14.558131291600045
public_input_complements,low g,0.6,1,0.5001829195049198,1.2,0.8141953866824402,0.4345865101833633,0.4745114753136245,0.5176081104432478,0.5202026318938398,-14.557796310457174
public_input_complements,low g,0.6,1,0.5003252364947652,1.2,0.8141773481188341,0.4345990363733683,0.4745565704476414,0.51767818866018,0.5202730613792962,-14.557327308930647
public_input_complements,low g,0.6,1,0.5005082749838822,1.2,0.814157189325995,0.43461305252069315,0.47460700411870216,0.5177653132815089,0.5203606227146068,-14.55672425907589
public_input_complements,low g,0.6,1,0.500732079632158,1.2,0.8141325073694957,0.43463018356961863,0.47466868914088056,0.51787182677248,0.5204676701066732,-14.555987125001623
public_input_complements,low g,0.6,1,0.5009967050608752,1.2,0.8141034777158436,0.434650354439821,0.4747412878741697,0.5179976019181174,0.5205940757028518,-14.555115862827403
public_input_complements,low g,0.6,1,0.5013022158749305,1.2,0.8140702627540035,0.434673418065596,0.47482432026768384,0.5181424562472712,0.5207396561173518,-14.554110420716642
public_input_complements,low g,0.6,1,0.5016486866891229,1.2,0.8141232781425257,0.4346365849900647,0.4746917454360139,0.5182169641762886,0.5208145375189177,-14.552971065906586
public_input_complements,low g,0.6,1,0.502036202158526,1.2,0.8141195095496822,0.4346392327173101,0.4747012331197077,0.5183626136502096,0.520960917063865,-14.551698925458648
public_input_complements,low g,0.6,1,0.502464857012963,1.2,0.8140706486703031,0.4346731528558584,0.474823361498351,0.5185678205583868,0.5211671525759498,-14.550292659823285
public_input_complements,low g,0.6,1,0.5029347560956027,1.2,0.8141841651808095,0.4345943302133422,0.4745395880800096,0.5186271937570889,0.521226823384049,-14.548753206596949
public_input_complements,low g,0.6,1,0.5034460144056994,1.2,0.8143570981678818,0.43447422313550454,0.47410722380480813,0.5186423876962141,0.5212420934831109,-14.547083878261791
public_input_complements,low g,0.6,1,0.5039987571454999,1.2,0.8142974873619453,0.4345156327858788,0.47425627945555293,0.5189031526939105,0.5215041655707978,-14.545282811656065
public_input_complements,low g,0.6,1,0.5045931197713469,1.2,0.8142326128915567,0.43456069482834825,0.4744184879376756,0.5191841489727911,0.5217865703493876,-14.543347797152524
public_input_complements,low g,0.6,1,0.5052292480490046,1.2,0.814160594396099,0.4346106743733156,0.4745984622502626,0.5194872260426971,0.5220911665994286,-14.54127872032501
public_input_complements,low g,0.6,1,0.5059072981132409,1.2,0.8140875141814689,0.4346614408072351,0.4747811979621591,0.5198064422828588,0.5224119829176527,-14.539075458847158
public_input_complements,low g,0.6,1,0.5066274365316988,1.2,0.8142419249556917,0.4345542166583371,0.47439518302631656,0.5199145293537392,0.5225206117772304,-14.536740035315205
public_input_complements,low g,0.6,1,0.507389840373095,1.2,0.8142273614798412,0.4345643303775157,0.47443159213559283,0.5202055288182018,0.5228130698825788,-14.534276471014689
public_input_complements,low g,0.6,1,0.5081946972797818,1.2,0.8141395084165689,0.434625339084149,0.4746512240051931,0.5205845325330959,0.5231939733614995,-14.531678981347557
public_input_complements,low g,0.6,1,0.5090422055447187,1.2,0.8141599119988552,0.4346111563273031,0.4746001856681197,0.5208707554451364,0.5234816309718572,-14.5289482038289
public_input_complements,low g,0.6,1,0.5099325741928927,1.2,0.8141046596839641,0.4346495261564006,0.47473831681386147,0.5212474259930026,0.5238601895887016,-14.526085742010467
public_input_complements,low g,0.6,1,0.5108660230672385,1.2,0.8140718985082867,0.4346722646658007,0.47482019316984303,0.5216167376775405,0.5242313524557619,-14.523092378300992
public_input_complements,low g,0.6,1,0.5118427829191048,1.2,0.8139643809256163,0.4347469415210846,0.47508901275992654,0.5220758074395676,0.5246927233145472,-14.51996474881889
