scenario_family,scenario,parameter_value,period,hc,parent_h,c_policy,l_policy,e_policy,perceived_hc_next_policy,true_expected_hc_next_policy,value_policy
rho,complements,-0.4,1,0.5,1.2,0.8060443292717219,0.44024696572785926,0.4948891167004543,0.5858487143348071,0.5887852932358636,-9.741841453667114
rho,complements,-0.4,1,0.5000203210855501,1.2,0.8060419164048012,0.44024864954712967,0.4948951666169989,0.5858602747411911,0.5887969115890257,-9.741767835023094
rho,complements,-0.4,1,0.5000812892976928,1.2,0.8060346783363417,0.44025369226468025,0.4949132969553678,0.5858949481305543,0.5888317587794764,-9.741546974069717
rho,complements,-0.4,1,0.5001829195049198,1.2,0.8060198748900088,0.4402639813336405,0.4949503247906547,0.585955758817327,0.588892874281085,-9.741178855735251
rho,complements,-0.4,1,0.5003252364947652,1.2,0.806002924866793,0.44027573914686235,0.4949926716904296,0.5860366916135523,0.5889742127546397,-9.740663454920034
rho,complements,-0.4,1,0.5005082749838822,1.2,0.8059811446289495,0.4402908645986251,0.4950471229040807,0.586140759667471,0.5890788024518496,-9.740000736473231
rho,complements,-0.4,1,0.500732079632158,1.2,0.8059545327705115,0.4403093402084074,0.4951136420796485,0.5862679538321509,0.589206634179933,-9.739190655210395
rho,complements,-0.4,1,0.5009967050608752,1.2,0.8059236097885083,0.440330812575757,0.4951909453751268,0.5864177132615387,0.5893571442815845,-9.738233155875252
rho,complements,-0.4,1,0.5013022158749305,1.2,0.8058984933886247,0.44034825459901866,0.49525373654525573,0.5865788272361107,0.5895190658433147,-9.73712817765444
rho,complements,-0.4,1,0.5016486866891229,1.2,0.806012462509271,0.44026912098216636,0.49496883881220843,0.5866034264708383,0.5895437883822197,-9.735877030189485
rho,complements,-0.4,1,0.502036202158526,1.2,0.8059669893454255,0.44030069189500803,0.49508250514779184,0.586822689300369,0.5897641502712568,-9.734479475971105
rho,complements,-0.4,1,0.502464857012963,1.2,0.8059136767274981,0.44033771009222933,0.49521577707171743,0.5870684799288514,0.5900111729303916,-9.732934460198198
rho,complements,-0.4,1,0.5029347560956027,1.2,0.8058584662243584,0.44037604456623,0.49535379003869845,0.5873342134142817,0.5902782384104608,-9.7312418777728
rho,complements,-0.4,1,0.5034460144056994,1.2,0.805889524137878,0.44035447359866386,0.4952761388352359,0.5875219442492715,0.5904669102501768,-9.729401944521213
rho,complements,-0.4,1,0.5039987571454999,1.2,0.8061052766046757,0.4402046379341085,0.4947367413329986,0.587521945107614,0.590466911112822,-9.727419110085004
rho,complements,-0.4,1,0.5045931197713469,1.2,0.8061968424211735,0.4401410730294272,0.4945078753223894,0.5876776728666343,0.5906234194604825,-9.725294999100564
rho,complements,-0.4,1,0.5052292480490046,1.2,0.8061488550039404,0.44017439036906564,0.4946278281932414,0.5880066165995981,0.5909540120307694,-9.723025351309381
rho,complements,-0.4,1,0.5059072981132409,1.2,0.8062185145690699,0.44012601185443206,0.4944536710365033,0.5882222067245317,0.5911706828057014,-9.720609890652527
rho,complements,-0.4,1,0.5066274365316988,1.2,0.8061347302574944,0.44018421059442925,0.49466316462647275,0.5886268398173251,0.5915773441303127,-9.71804993935306
rho,complements,-0.4,1,0.507389840373095,1.2,0.8060428603490172,0.4402480063853993,0.49489283344344537,0.5890584300463589,0.5920110977143725,-9.71534260433776
rho,complements,-0.4,1,0.5081946972797818,1.2,0.8060261576098513,0.44025958884883964,0.4949345543036425,0.5894239978302745,0.5923784979144304,-9.712487936089929
rho,complements,-0.4,1,0.5090422055447187,1.2,0.8060623810571644,0.44023443953785424,0.49484400834460074,0.5897482823071895,0.5927044078740501,-9.709491794709097
rho,complements,-0.4,1,0.5099325741928927,1.2,0.8060681132291656,0.4402304559900127,0.4948296717092619,0.5901244939177314,0.5930825052531375,-9.706351533628975
rho,complements,-0.4,1,0.5108660230672385,1.2,0.8060348812261173,0.44025353812795676,0.49491276113026933,0.5905622485180092,0.5935224541074806,-9.70306497076609
rho,complements,-0.4,1,0.5118427829191048,1.2,0.8063149448019403,0.4400590553972628,0.4942126148561473,0.5906663563824013,0.5936270838147145,-9.699642493988929
rho,complements,-0.4,1,0.5128630955033207,1.2,0.8062002192320217,0.4401387292054987,0.4944994358518556,0.5912313268601131,0.594194886218731,-9.696078993855544
