"","Cognitive Skills","Health","Cognitive Skills","Health"
"delta","0.758","0.074","0.688","0.075"
"","0.065","0.037","0.065","0.037"
"","[0.635,0.843]","[0.038,0.149]","[0.56,0.756]","[0.037,0.148]"
"control function","0","0","-0.465","0.007"
"","0","0","0.087","0.067"
"","[0,0]","[0,0]","[-0.624,-0.347]","[-0.106,0.115]"
"number of children","-0.003","-0.005","-0.007","-0.005"
"","0.008","0.006","0.009","0.006"
"","[-0.013,0.012]","[-0.016,0.003]","[-0.02,0.008]","[-0.017,0.003]"
"older siblings","-0.011","0.002","-0.013","0.002"
"","0.008","0.006","0.009","0.006"
"","[-0.025,0]","[-0.009,0.011]","[-0.027,-0.001]","[-0.009,0.011]"
"gender","0.032","0.006","0.031","0.006"
"","0.009","0.006","0.009","0.006"
"","[0.011,0.042]","[-0.003,0.014]","[0.011,0.042]","[-0.003,0.015]"
"income","-0.128","0.053","-0.101","0.053"
"","0.044","0.024","0.047","0.024"
"","[-0.192,-0.039]","[-0.004,0.07]","[-0.165,-0.011]","[-0.002,0.073]"
"urban","-0.012","0.006","-0.011","0.006"
"","0.004","0.003","0.005","0.003"
"","[-0.018,-0.003]","[0,0.01]","[-0.018,-0.002]","[-0.001,0.01]"
"Hindu","-0.007","0","-0.01","0"
"","0.007","0.005","0.008","0.005"
"","[-0.015,0.009]","[-0.008,0.007]","[-0.018,0.006]","[-0.008,0.007]"
"Muslim","0","0","0.001","0"
"","0.002","0.001","0.002","0.001"
"","[-0.003,0.002]","[-0.001,0.004]","[-0.002,0.004]","[-0.001,0.004]"
"mother's age","0.018","-0.001","0.019","-0.001"
"","0.008","0.006","0.008","0.006"
"","[0.005,0.029]","[-0.01,0.009]","[0.006,0.032]","[-0.01,0.009]"
"castesc","0.017","-0.003","0.014","-0.003"
"","0.006","0.004","0.007","0.004"
"","[0.009,0.029]","[-0.009,0.003]","[0.006,0.027]","[-0.008,0.003]"
"castest","-0.007","-0.014","-0.007","-0.014"
"","0.004","0.004","0.004","0.004"
"","[-0.012,0.001]","[-0.018,-0.007]","[-0.011,0.001]","[-0.018,-0.007]"
"castebc","-0.006","0.014","-0.008","0.014"
"","0.008","0.005","0.008","0.005"
"","[-0.016,0.009]","[0.005,0.021]","[-0.02,0.006]","[0.005,0.021]"
"cognition5","0.174","-0.002","0.144","-0.001"
"","0.036","0.018","0.033","0.018"
"","[0.127,0.244]","[-0.036,0.022]","[0.101,0.209]","[-0.038,0.026]"
"health5","0.158","0.909","0.14","0.909"
"","0.026","0.039","0.025","0.038"
"","[0.105,0.185]","[0.822,0.949]","[0.092,0.169]","[0.821,0.95]"
"parental cognition","0.215","0.031","0.154","0.031"
"","0.029","0.018","0.037","0.018"
"","[0.156,0.254]","[0.016,0.079]","[0.079,0.192]","[0.017,0.077]"
"parental health","-0.005","0.046","-0.056","0.047"
"","0.039","0.029","0.037","0.029"
"","[-0.041,0.085]","[0.004,0.101]","[-0.096,0.021]","[0.002,0.107]"
"investment","0.458","0.016","0.618","0.014"
"","0.053","0.03","0.057","0.033"
"","[0.367,0.533]","[-0.03,0.066]","[0.529,0.717]","[-0.039,0.072]"
"rho","0.131","0.364","0.115","0.365"
"","0.065","0.132","0.059","0.129"
"","[-0.021,0.182]","[0.03,0.449]","[0.005,0.202]","[0.019,0.45]"
"elasticity of substitution","1.15","1.572","1.13","1.574"
"","0.078","0.26","0.075","0.261"
"","[0.979,1.222]","[1.031,1.815]","[1.005,1.254]","[1.019,1.817]"
