"","Cognitive Skills","Health","Cognitive Skills","Health"
"delta","-0.056","-0.342","-0.044","-0.334"
"","0.037","0.041","0.037","0.041"
"","[-0.085,0.039]","[-0.4,-0.269]","[-0.076,0.044]","[-0.394,-0.265]"
"control function","0","0","-0.831","-0.829"
"","0","0","0.264","0.22"
"","[0,0]","[0,0]","[-1.102,-0.293]","[-1.121,-0.458]"
"number of children","0.006","0.015","0.003","0.013"
"","0.01","0.009","0.01","0.009"
"","[-0.016,0.015]","[-0.002,0.032]","[-0.019,0.013]","[-0.003,0.03]"
"older siblings","-0.011","-0.026","-0.01","-0.025"
"","0.009","0.01","0.009","0.01"
"","[-0.026,0.006]","[-0.044,-0.009]","[-0.028,0.005]","[-0.044,-0.011]"
"gender","0.014","0","0.014","0"
"","0.009","0.008","0.009","0.008"
"","[-0.003,0.024]","[-0.011,0.015]","[-0.003,0.023]","[-0.012,0.013]"
"urban","0.003","0.001","0.005","0.002"
"","0.005","0.004","0.005","0.004"
"","[-0.006,0.009]","[-0.009,0.004]","[-0.005,0.01]","[-0.008,0.005]"
"Hindu","-0.008","0.011","-0.009","0.01"
"","0.008","0.008","0.008","0.007"
"","[-0.023,0.004]","[-0.006,0.017]","[-0.022,0.004]","[-0.007,0.016]"
"Muslim","-0.003","-0.005","-0.002","-0.005"
"","0.002","0.002","0.002","0.002"
"","[-0.005,0.002]","[-0.006,0]","[-0.004,0.003]","[-0.006,0]"
"mother's age","0.009","0.001","0.01","0.002"
"","0.009","0.008","0.009","0.008"
"","[0,0.026]","[-0.013,0.013]","[0,0.027]","[-0.012,0.014]"
"castesc","-0.005","0.001","-0.006","0"
"","0.007","0.005","0.007","0.006"
"","[-0.016,0.004]","[-0.008,0.009]","[-0.017,0.003]","[-0.01,0.007]"
"castest","0.033","0.012","0.031","0.01"
"","0.007","0.005","0.007","0.005"
"","[0.017,0.042]","[0.004,0.02]","[0.016,0.041]","[0.003,0.018]"
"castebc","-0.01","-0.017","-0.011","-0.019"
"","0.008","0.007","0.008","0.007"
"","[-0.028,-0.003]","[-0.027,-0.005]","[-0.029,-0.004]","[-0.028,-0.006]"
"health at 1","0.06","0.48","0.053","0.473"
"","0.028","0.026","0.027","0.026"
"","[0.015,0.109]","[0.438,0.521]","[0.013,0.103]","[0.431,0.511]"
"parental cognition","0.364","0.042","0.344","0.022"
"","0.034","0.022","0.033","0.022"
"","[0.307,0.42]","[-0.009,0.07]","[0.295,0.399]","[-0.027,0.046]"
"parental health","0.099","0.281","0.077","0.259"
"","0.05","0.052","0.049","0.049"
"","[0.031,0.18]","[0.21,0.371]","[0.007,0.141]","[0.189,0.345]"
"investment","0.478","0.197","0.526","0.247"
"","0.051","0.047","0.048","0.049"
"","[0.381,0.539]","[0.12,0.262]","[0.433,0.58]","[0.172,0.315]"
"rho","0.054","-0.013","0.027","-0.005"
"","0.129","0.037","0.135","0.039"
"","[-0.25,0.176]","[-0.081,0.032]","[-0.285,0.147]","[-0.075,0.037]"
"elasticity of subst","1.057","0.987","1.027","0.995"
"","0.128","0.036","0.128","0.039"
"","[0.8,1.213]","[0.925,1.033]","[0.778,1.173]","[0.93,1.038]"
