"","Age 12"
"Intercept","0.513"
"","0.1"
"","[0.408,0.754]"
"Cognition 8","0.441"
"","0.124"
"","[0.166,0.568]"
"Health 8","0.042"
"","0.049"
"","[-0.019,0.139]"
"Parental Cognition","-0.151"
"","0.054"
"","[-0.192,-0.022]"
"Parental Health","-0.075"
"","0.063"
"","[-0.201,0.003]"
"Price Clothing age 12","0.054"
"","0.037"
"","[0.006,0.128]"
"Price Notebook age 12","-0.144"
"","0.04"
"","[-0.198,-0.073]"
"Price Mebendaziol age 12","0.021"
"","0.03"
"","[-0.037,0.057]"
"Price Food age 12","-0.088"
"","0.03"
"","[-0.141,-0.043]"
"Order of Birth","-0.026"
"","0.054"
"","[-0.142,0.051]"
"Number of Children","-0.084"
"","0.059"
"","[-0.16,0.027]"
"Male","0.012"
"","0.036"
"","[-0.046,0.069]"
"Income","0.802"
"","0.114"
"","[0.567,0.904]"
"urban","0.055"
"","0.047"
"","[-0.013,0.134]"
"Hindu","0.004"
"","0.047"
"","[-0.088,0.067]"
"Muslim","0.001"
"","0.053"
"","[-0.09,0.084]"
"mother's age","-0.01"
"","0.035"
"","[-0.047,0.064]"
"castesc","-0.147"
"","0.05"
"","[-0.226,-0.064]"
"castest","-0.112"
"","0.046"
"","[-0.194,-0.046]"
"castebc","-0.104"
"","0.053"
"","[-0.2,-0.025]"
