"","Age 5"
"Intercept","-0.001"
"","0.001"
"","[-0.002,0.002]"
"Health 1","0.033"
"","0.008"
"","[0.016,0.043]"
"Parental Cognition","0"
"","0.015"
"","[-0.021,0.022]"
"Parental Health","-0.015"
"","0.013"
"","[-0.031,0.012]"
"Price Clothing age 5","-0.009"
"","0.007"
"","[-0.019,0.005]"
"Price Notebook age 5","-0.029"
"","0.009"
"","[-0.052,-0.022]"
"Price Mebendaziol age 5","0.012"
"","0.007"
"","[0.004,0.026]"
"Price Food age 5","-0.005"
"","0.008"
"","[-0.019,0.007]"
"Order of Birth","0.014"
"","0.013"
"","[-0.008,0.035]"
"Number of Children","-0.033"
"","0.012"
"","[-0.051,-0.014]"
"Male","-0.003"
"","0.008"
"","[-0.015,0.009]"
"Income","0.163"
"","0.029"
"","[0.107,0.201]"
"urban","0.052"
"","0.014"
"","[0.034,0.079]"
"Hindu","-0.007"
"","0.012"
"","[-0.028,0.013]"
"Muslim","-0.01"
"","0.013"
"","[-0.034,0.008]"
"mother's age","0"
"","0.008"
"","[-0.015,0.012]"
"castesc","-0.008"
"","0.011"
"","[-0.025,0.009]"
"castest","0.013"
"","0.011"
"","[-0.005,0.027]"
"castebc","-0.003"
"","0.013"
"","[-0.024,0.021]"
