"","Cognitive Skills","Health","Cognitive Skills","Health"
"delta","-0.056","-0.342","-0.048","-0.335"
"","0.037","0.041","0.037","0.041"
"","[-0.085,0.039]","[-0.4,-0.269]","[-0.076,0.041]","[-0.395,-0.266]"
"control function","0","0","-0.574","-0.589"
"","0","0","0.237","0.192"
"","[0,0]","[0,0]","[-0.874,-0.138]","[-0.87,-0.283]"
"number of children","0.006","0.015","0.004","0.014"
"","0.01","0.009","0.01","0.009"
"","[-0.016,0.015]","[-0.002,0.032]","[-0.019,0.014]","[-0.002,0.031]"
"older siblings","-0.011","-0.026","-0.011","-0.026"
"","0.009","0.01","0.009","0.01"
"","[-0.026,0.006]","[-0.044,-0.009]","[-0.028,0.005]","[-0.044,-0.011]"
"gender","0.014","0","0.014","0"
"","0.009","0.008","0.009","0.008"
"","[-0.003,0.024]","[-0.011,0.015]","[-0.003,0.023]","[-0.012,0.014]"
"urban","0.003","0.001","0.004","0.002"
"","0.005","0.004","0.005","0.004"
"","[-0.006,0.009]","[-0.009,0.004]","[-0.006,0.01]","[-0.008,0.005]"
"Hindu","-0.008","0.011","-0.008","0.011"
"","0.008","0.008","0.008","0.008"
"","[-0.023,0.004]","[-0.006,0.017]","[-0.023,0.004]","[-0.007,0.016]"
"Muslim","-0.003","-0.005","-0.002","-0.005"
"","0.002","0.002","0.002","0.002"
"","[-0.005,0.002]","[-0.006,0]","[-0.004,0.003]","[-0.005,0]"
"mother's age","0.009","0.001","0.009","0.001"
"","0.009","0.008","0.009","0.008"
"","[0,0.026]","[-0.013,0.013]","[0,0.027]","[-0.012,0.014]"
"castesc","-0.005","0.001","-0.006","0"
"","0.007","0.005","0.007","0.006"
"","[-0.016,0.004]","[-0.008,0.009]","[-0.017,0.003]","[-0.01,0.008]"
"castest","0.033","0.012","0.031","0.01"
"","0.007","0.005","0.007","0.005"
"","[0.017,0.042]","[0.004,0.02]","[0.017,0.041]","[0.003,0.018]"
"castebc","-0.01","-0.017","-0.011","-0.018"
"","0.008","0.007","0.008","0.007"
"","[-0.028,-0.003]","[-0.027,-0.005]","[-0.029,-0.004]","[-0.028,-0.006]"
"health at 1","0.06","0.48","0.054","0.474"
"","0.028","0.026","0.027","0.026"
"","[0.015,0.109]","[0.438,0.521]","[0.012,0.104]","[0.432,0.513]"
"parental cognition","0.364","0.042","0.348","0.025"
"","0.034","0.022","0.033","0.022"
"","[0.307,0.42]","[-0.009,0.07]","[0.294,0.402]","[-0.025,0.051]"
"parental health","0.099","0.281","0.081","0.263"
"","0.05","0.052","0.049","0.05"
"","[0.031,0.18]","[0.21,0.371]","[0.011,0.147]","[0.191,0.351]"
"investment","0.478","0.197","0.518","0.238"
"","0.051","0.047","0.049","0.049"
"","[0.381,0.539]","[0.12,0.262]","[0.423,0.57]","[0.16,0.309]"
"rho","0.054","-0.013","0.05","-0.008"
"","0.129","0.037","0.134","0.039"
"","[-0.25,0.176]","[-0.081,0.032]","[-0.257,0.16]","[-0.078,0.033]"
"elasticity of subst","1.057","0.987","1.052","0.992"
"","0.128","0.036","0.133","0.038"
"","[0.8,1.213]","[0.925,1.033]","[0.795,1.19]","[0.928,1.034]"
