"","Age 5"
"Intercept","-0.001"
"","0.002"
"","[-0.003,0.002]"
"Health 1","0.03"
"","0.008"
"","[0.012,0.041]"
"Parental Cognition","0.063"
"","0.014"
"","[0.038,0.081]"
"Parental Health","0.019"
"","0.014"
"","[0,0.045]"
"Price Clothing age 5","-0.015"
"","0.007"
"","[-0.024,-0.003]"
"Price Notebook age 5","-0.035"
"","0.009"
"","[-0.054,-0.026]"
"Price Mebendaziol age 5","0.003"
"","0.006"
"","[-0.004,0.018]"
"Price Food age 5","-0.013"
"","0.007"
"","[-0.025,-0.004]"
"Order of Birth","0.002"
"","0.014"
"","[-0.019,0.025]"
"Number of Children","-0.021"
"","0.012"
"","[-0.037,-0.005]"
"Male","0.001"
"","0.008"
"","[-0.009,0.014]"
"urban","0.079"
"","0.013"
"","[0.062,0.101]"
"Hindu","-0.008"
"","0.012"
"","[-0.024,0.013]"
"Muslim","-0.012"
"","0.013"
"","[-0.035,0.009]"
"mother's age","0.003"
"","0.008"
"","[-0.01,0.016]"
"castesc","-0.009"
"","0.01"
"","[-0.023,0.009]"
"castest","-0.001"
"","0.01"
"","[-0.017,0.014]"
"castebc","-0.001"
"","0.013"
"","[-0.018,0.02]"
