"","Human Capital without Control Function","Human Capital with Control Function"
"delta","0.477","0.631"
"","0.077","0.111"
"","[0.451,0.549]","[0.41,0.551]"
"control function","0","-1.089"
"","0","0.664"
"","[0,0]","[-0.785,0.06]"
"peducation","0","0"
"","0","0.003"
"","[0.003,0.003]","[0.001,0.005]"
"human capital 2","1","0"
"","0.237","0.707"
"","[0.682,0.983]","[0.05,0.95]"
"government investment 2","0","0"
"","0.028","0.035"
"","[0.002,0.038]","[0.005,0.05]"
"parental investment 2","0","1"
"","0.265","0.742"
"","[-0.021,0.316]","[0,0.945]"
"rho","-1.9","0.319"
"","1.278","0.557"
"","[-1.903,-0.276]","[0.006,0.714]"
"elasticity of substitution","0.345","1.469"
"","0.36","2.183"
"","[0.36,0.818]","[1.122,3.901]"
