"","Human Capital without Control Function","Human Capital with Control Function"
"delta","0","0"
"",NA,NA
"","[-0.001,-0.001]","[-0.001,-0.001]"
"control function","0","0"
"",NA,NA
"","[0,0]","[0,0]"
"peducation","0","0"
"",NA,NA
"","[0.001,0.001]","[0.001,0.001]"
"theta_h","0.99","0.99"
"",NA,NA
"","[0.99,0.99]","[0.99,0.99]"
"theta_p","0.99","0.99"
"",NA,NA
"","[0.99,0.99]","[0.99,0.99]"
"ces_delta","0.01","0.01"
"",NA,NA
"","[0.032,0.032]","[0.01,0.01]"
"mu","-2.138","-5"
"",NA,NA
"","[-0.208,-0.208]","[0.99,0.99]"
"rho","0.99","0.99"
"",NA,NA
"","[0.99,0.99]","[0.99,0.99]"
"outer elasticity of substitution","100","100"
"",NA,NA
"","[100,100]","[100,100]"
"inner elasticity of substitution","0.319","0.167"
"",NA,NA
"","[0.828,0.828]","[100,100]"
