"","Human Capital without Control Function","Human Capital with Control Function"
"delta","1.16","1.16"
"","0.075","0.069"
"","[1.318,1.414]","[1.318,1.406]"
"control function","0","-0.303"
"","0","0.089"
"","[0,0]","[0.006,0.119]"
"peducation","0","0"
"","0.001","0.001"
"","[-0.002,0]","[-0.002,0]"
"theta_h","0.99","0.99"
"","0.199","0.246"
"","[0.024,0.277]","[0.027,0.34]"
"theta_p","0.99","0.99"
"","0","0"
"","[0.99,0.99]","[0.99,0.99]"
"ces_delta","0.99","0.99"
"","0.675","0.675"
"","[0.083,0.942]","[0.084,0.942]"
"mu","0.99","0.99"
"","0.769","0.768"
"","[-0.044,0.936]","[-0.041,0.936]"
"rho","0.99","0.99"
"","0","0"
"","[0.99,0.99]","[0.99,0.99]"
"outer elasticity of substitution","100","100"
"","0","0"
"","[100,100]","[100,100]"
"inner elasticity of substitution","100","100"
"","70.067","70.065"
"","[5.865,95.046]","[5.867,95.046]"
